comparison_group,variant,run_id,case_name,parameter_regime,validation_level,diagnosis_label,stop_reason,solver_status,epsilon_cert,max_iterations,A_selected,B_selected,K,iteration_count,cut_count,generated_cut_count,final_violation_upper_bound,sampled_problem_gap_bound,total_runtime_sec,dominant_cause,message
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,10,[1],[1],2,10,10,9,2818.310000000056,0.0,21.305519333000003,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078
integrated_paper_like_exact_i10_k2_a1b1,improved,integrated_paper_like_exact_i10_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,10,[1],[1],2,10,10,9,2818.310000000056,0.0,21.483744290999997,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078
integrated_paper_like_exact_i20_k2_a1b1,baseline,integrated_paper_like_exact_i20_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,20,20,19,3747.1099999961443,0.0,45.191385125,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583
integrated_paper_like_exact_i20_k2_a1b1,improved,integrated_paper_like_exact_i20_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,20,20,19,3747.1099999961443,0.0,44.685313707999995,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583
disaster_only_paper_like_exact_i5_k1_a1b1,baseline,disaster_only_paper_like_exact_i5_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],1,5,5,4,46818.8099999954,0.0,4.03635275000002,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074
disaster_only_paper_like_exact_i5_k1_a1b1,improved,disaster_only_paper_like_exact_i5_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],1,5,5,4,46818.8099999954,0.0,4.049883916999988,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074
disaster_only_paper_like_exact_i20_k1_a1b1,baseline,disaster_only_paper_like_exact_i20_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],1,20,20,19,21273.049999997485,0.0,17.295051124999986,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090
disaster_only_paper_like_exact_i20_k1_a1b1,improved,disaster_only_paper_like_exact_i20_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],1,20,20,19,21273.049999997485,0.0,17.302571582999974,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090
disaster_only_paper_like_exact_i5_k2_a1b1,baseline,disaster_only_paper_like_exact_i5_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],2,5,5,4,71546.45000003651,0.0,4.048373500000025,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693
disaster_only_paper_like_exact_i5_k2_a1b1,improved,disaster_only_paper_like_exact_i5_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],2,5,5,4,71546.45000003651,0.0,4.017569667000032,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=26823.693
disaster_only_paper_like_exact_i20_k2_a1b1,baseline,disaster_only_paper_like_exact_i20_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,20,20,19,35891.95999998739,0.0,18.283965707999982,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917
disaster_only_paper_like_exact_i20_k2_a1b1,improved,disaster_only_paper_like_exact_i20_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,20,20,19,35891.95999998739,0.0,18.38961608300002,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=44130.917
disaster_only_paper_like_exact_i40_k2_a1b1,baseline,disaster_only_paper_like_exact_i40_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,40,[1],[1],2,40,40,39,7636.459999999031,0.0,38.94427562499999,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172
disaster_only_paper_like_exact_i40_k2_a1b1,improved,disaster_only_paper_like_exact_i40_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,40,[1],[1],2,40,40,39,7636.459999999031,0.0,39.283394708,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=38/39; alpha/lambda-only cuts=1/39; lower-bound gain=55144.172
