comparison_group,variant,run_id,case_name,parameter_regime,validation_level,diagnosis_label,stop_reason,solver_status,epsilon_cert,max_iterations,A_selected,B_selected,K,cut_signature_dedup_enabled,repeated_outage_guard_enabled,iteration_count,cut_count,generated_cut_count,final_violation_upper_bound,sampled_problem_gap_bound,total_objective,construction_cost,weighted_normal_term,disaster_master_term,total_runtime_sec,master_runtime_sec_total,separation_runtime_sec_total,dual_resolve_runtime_sec_total,repeated_outage_count,repeated_cut_signature_count,alpha_lambda_only_cut_count,plan_change_cut_count,lower_bound_gain,dominant_cause,notes,iteration_log_path,master_before_cut_lp_path,master_after_cut_lp_path
integrated_paper_like_exact_i10_k2_a1b1,baseline,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,10,[1],[1],2,False,False,10,10,9,2818.310000000056,0.0,13208090.806477968,172089.27406128767,13035517.893568961,483.6388477161834,21.305519333000003,15.385016456999999,0.3094520839999997,0.16488087599999846,0,0,0,9,1003.0779996309429,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i10_k2_a1b1__baseline_iteration_log.json,,
integrated_paper_like_exact_i10_k2_a1b1,improved,integrated_paper_like_exact_i10_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,10,[1],[1],2,True,True,10,10,9,2818.310000000056,0.0,13208090.806477968,172089.27406128767,13035517.893568961,483.6388477161834,21.483744290999997,15.547774874999998,0.3290765420000028,0.16253158300000337,0,0,0,9,1003.0779996309429,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=9/9; alpha/lambda-only cuts=0/9; lower-bound gain=1003.078,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i10_k2_a1b1__improved_iteration_log.json,,
integrated_paper_like_exact_i20_k2_a1b1,baseline,integrated_paper_like_exact_i20_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,False,False,20,20,19,3747.1099999961443,0.0,13208261.311175572,171730.13627193242,13035579.452562211,951.7223414290767,45.191385125,33.14791029400002,0.6730111679999666,0.31956699999999216,1,0,0,19,1173.5826972350478,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i20_k2_a1b1__baseline_iteration_log.json,,
integrated_paper_like_exact_i20_k2_a1b1,improved,integrated_paper_like_exact_i20_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],2,True,True,20,20,19,3747.1099999961443,0.0,13208261.311175572,171730.13627193242,13035579.452562211,951.7223414290767,44.685313707999995,32.55486266699998,0.6493510849999637,0.3232097519999684,1,0,0,19,1173.5826972350478,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=1; plan-changing cuts=19/19; alpha/lambda-only cuts=0/19; lower-bound gain=1173.583,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i20_k2_a1b1__improved_iteration_log.json,,
integrated_paper_like_exact_i40_k2_a1b1,baseline,integrated_paper_like_exact_i40_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,exact,exact_zero,certified_exact,OPTIMAL,0.0,40,[1],[1],2,False,False,23,23,22,4.656612873077393e-10,0.0,13208233.806745833,172119.2022104006,13035594.074407563,520.530127871867,63.44806299999999,45.531339793,0.8281433340001456,0.4212154179999743,3,0,0,22,1146.0782674960792,repeated outages,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=3; plan-changing cuts=22/22; alpha/lambda-only cuts=0/22; lower-bound gain=1146.078,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i40_k2_a1b1__baseline_iteration_log.json,,
integrated_paper_like_exact_i40_k2_a1b1,improved,integrated_paper_like_exact_i40_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,exact,exact_zero,certified_exact,OPTIMAL,0.0,40,[1],[1],2,True,True,23,23,22,4.656612873077393e-10,0.0,13208233.806745833,172119.2022104006,13035594.074407563,520.530127871867,56.810514582999986,41.590914209999994,0.7571857100000727,0.391125291999856,3,0,0,22,1146.0782674960792,repeated outages,stop_reason=certified_exact; diagnosis=exact_zero; repeated outages=3; plan-changing cuts=22/22; alpha/lambda-only cuts=0/22; lower-bound gain=1146.078,results/cut_process_diagnostics/logs/integrated_paper_like_exact_i40_k2_a1b1__improved_iteration_log.json,,
disaster_only_paper_like_exact_i5_k1_a1b1,baseline,disaster_only_paper_like_exact_i5_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],1,False,False,5,5,4,46818.8099999954,0.0,29087.07384291861,23113.82481765002,0.0,5973.2490252685875,4.03635275000002,1.111362206999985,0.17760629100010306,0.06343345700000214,0,0,1,3,29087.07384291861,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i5_k1_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i5_k1_a1b1,improved,disaster_only_paper_like_exact_i5_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,5,[1],[1],1,True,True,5,5,4,46818.8099999954,0.0,29087.07384291861,23113.82481765002,0.0,5973.2490252685875,4.049883916999988,1.0986774589999868,0.15456725199982202,0.06535133300002371,0,0,1,3,29087.07384291861,other evidenced cause,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; plan-changing cuts=3/4; alpha/lambda-only cuts=1/4; lower-bound gain=29087.074,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i5_k1_a1b1__improved_iteration_log.json,,
disaster_only_paper_like_exact_i20_k1_a1b1,baseline,disaster_only_paper_like_exact_i20_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],1,False,False,20,20,19,21273.049999997485,0.0,48296.08952088406,24061.523679079506,0.0,24234.56584180455,17.295051124999986,5.348940458000129,0.8093503359999659,0.3309519169999362,2,0,1,18,48296.08952088406,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i20_k1_a1b1__baseline_iteration_log.json,,
disaster_only_paper_like_exact_i20_k1_a1b1,improved,disaster_only_paper_like_exact_i20_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iter_noncert,max_iterations,OPTIMAL,0.0,20,[1],[1],1,True,True,20,20,19,21273.049999997485,0.0,48296.08952088406,24061.523679079506,0.0,24234.56584180455,17.302571582999974,5.27585291399987,0.8288237900000581,0.3432025019999969,2,0,1,18,48296.08952088406,repeated outages,stop_reason=max_iterations; diagnosis=max_iter_noncert; non-certified run remains smoke_only; repeated outages=2; plan-changing cuts=18/19; alpha/lambda-only cuts=1/19; lower-bound gain=48296.090,results/cut_process_diagnostics/logs/disaster_only_paper_like_exact_i20_k1_a1b1__improved_iteration_log.json,,
