run_id,family_name,case_name,parameter_regime,validation_level,stop_reason,solver_status,total_objective,construction_cost,weighted_normal_term,unweighted_normal_term,disaster_master_term,alpha,lambda_times_FP,iteration_count,cut_count,final_violation_upper_bound,opened_bus_count,total_slow_chargers,total_fast_chargers
integrated_mainline_paper_like,paper_like_tableII_family,integrated_mainline_paper_like,paper_like_tableII,epsilon_certified,certified_epsilon,OPTIMAL,13207087.728478337,171730.13627193242,13035357.592206404,18621939.41743772,0.0,0.0,0.0,1,1,16575.030000000726,15,361,24
normal_only_paper_like,paper_like_tableII_family,normal_only_paper_like,paper_like_tableII,exact,direct_optimal,OPTIMAL,18793795.328542694,171760.06442104536,18622035.264121648,18622035.264121648,0.0,0.0,0.0,0,1,0.0,15,362,24
disaster_only_paper_like,paper_like_tableII_family,disaster_only_paper_like,paper_like_tableII,smoke_only,max_iterations,OPTIMAL,26823.693279902243,23113.82481765002,0.0,76287766.14798273,3709.868462252223,0.0,3709.868462252223,5,5,71546.45000003651,1,25,10
deterministic_mean_value_paper_like,paper_like_tableII_family,deterministic_mean_value_paper_like,paper_like_tableII,epsilon_certified,certified_epsilon,OPTIMAL,13207087.728478337,171730.13627193242,13035357.592206404,18621939.41743772,0.0,0.0,0.0,1,1,16575.030000000726,15,361,24
ev_penetration_1_5x_paper_like,paper_like_tableII_family,ev_penetration_1_5x_paper_like,paper_like_tableII,epsilon_certified,certified_epsilon,OPTIMAL,17273788.20712779,262853.6935867764,17010934.51354102,24301335.019344315,0.0,0.0,0.0,1,1,3692.670000000391,23,575,36
ev_penetration_2_0x_paper_like,paper_like_tableII_family,ev_penetration_2_0x_paper_like,paper_like_tableII,epsilon_certified,certified_epsilon,OPTIMAL,26173111.322401464,305364.11493179464,25867747.20746967,36953924.58209953,0.0,0.0,0.0,1,1,2601.750000000233,26,633,47
integrated_mainline_runtime12,runtime12_directional_family,integrated_mainline_runtime12,runtime12_directional,smoke_only,max_iterations,OPTIMAL,24916798.832808632,4410273.923833655,20506437.556191694,22784930.61799077,87.35278330225373,0.0,873.5278330225372,2,2,10529.50500000018,18,360,24
normal_only_runtime12,runtime12_directional_family,normal_only_runtime12,runtime12_directional,exact,direct_optimal,OPTIMAL,27195204.541824397,4410273.923833655,22784930.617990784,22784930.617990784,0.0,0.0,0.0,0,1,0.0,18,360,24
deterministic_mean_value_runtime12,runtime12_directional_family,deterministic_mean_value_runtime12,runtime12_directional,smoke_only,max_iterations,OPTIMAL,24858124.365097396,4183374.4336056146,20674646.360838365,22971829.289820403,103.5706534132272,0.0,1035.706534132272,2,2,12987.68000000075,17,340,26
ev_penetration_1_5x_runtime12,runtime12_directional_family,ev_penetration_1_5x_runtime12,runtime12_directional,smoke_only,max_iterations,OPTIMAL,36750553.183723375,6172481.341952035,30577949.732886072,33975499.70320675,122.10888533352457,0.0,1221.0888533352456,2,2,5985.6700000002165,25,500,42
ev_penetration_2_0x_runtime12,runtime12_directional_family,ev_penetration_2_0x_runtime12,runtime12_directional,smoke_only,max_iterations,OPTIMAL,53401075.4307536,6470032.170454676,46930921.15141376,52145467.94601529,122.10888533352457,0.0,1221.0888533352456,2,2,5985.6700000002165,26,520,53
