scenario_b,ts,region,DEV_dis_fa_kW
1,1,1,143.575721
1,1,2,102.084352
1,1,3,40.657598
1,2,1,74.103482
1,2,2,48.360000
1,2,3,247.809537
1,3,1,34.816835
1,3,2,188.853581
1,3,3,115.531291
1,4,1,183.867326
1,4,2,113.105714
1,4,3,275.556535
2,1,1,116.925017
2,1,2,166.365398
2,1,3,137.022250
2,2,1,38.492246
2,2,2,40.311877
2,2,3,153.214909
2,3,1,0.000000
2,3,2,16.732007
2,3,3,92.661546
2,4,1,127.982335
2,4,2,62.482263
2,4,3,114.971448
3,1,1,151.005061
3,1,2,100.591671
3,1,3,34.241620
3,2,1,42.003292
3,2,2,45.586587
3,2,3,220.320714
3,3,1,38.497254
3,3,2,157.508269
3,3,3,146.483508
3,4,1,138.868583
3,4,2,148.404049
3,4,3,264.149869
4,1,1,164.316870
4,1,2,103.627622
4,1,3,112.811926
4,2,1,20.782994
4,2,2,38.477732
4,2,3,161.513135
4,3,1,0.000000
4,3,2,10.415281
4,3,3,78.853568
4,4,1,159.570876
4,4,2,107.383224
4,4,3,308.233000
5,1,1,231.260000
5,1,2,84.345372
5,1,3,29.231795
5,2,1,55.354542
5,2,2,27.317939
5,2,3,221.792776
5,3,1,33.955333
5,3,2,275.394574
5,3,3,118.496566
5,4,1,181.359915
5,4,2,163.095420
5,4,3,199.367230
6,1,1,182.570840
6,1,2,149.462300
6,1,3,129.860003
6,2,1,25.411709
6,2,2,33.014430
6,2,3,187.499919
6,3,1,0.000000
6,3,2,19.251210
6,3,3,83.603962
6,4,1,243.350991
6,4,2,74.106485
6,4,3,172.631111
7,1,1,204.888302
7,1,2,89.041945
7,1,3,35.449468
7,2,1,68.124775
7,2,2,33.582406
7,2,3,300.892701
7,3,1,28.837305
7,3,2,247.076191
7,3,3,142.759902
7,4,1,162.896379
7,4,2,226.101287
7,4,3,214.541071
8,1,1,216.870339
8,1,2,159.678553
8,1,3,77.702701
8,2,1,27.702103
8,2,2,31.705949
8,2,3,203.681535
8,3,1,0.000000
8,3,2,13.335379
8,3,3,67.777666
8,4,1,241.555724
8,4,2,76.014942
8,4,3,257.454575
9,1,1,149.618758
9,1,2,94.812655
9,1,3,43.125809
9,2,1,42.454490
9,2,2,37.810788
9,2,3,191.651716
9,3,1,36.122145
9,3,2,271.396395
9,3,3,154.947071
9,4,1,166.915589
9,4,2,172.731148
9,4,3,119.712899
10,1,1,158.876986
10,1,2,181.406263
10,1,3,117.561815
10,2,1,30.149259
10,2,2,33.471110
10,2,3,242.307968
10,3,1,0.000000
10,3,2,14.247245
10,3,3,66.105796
10,4,1,158.937860
10,4,2,73.680549
10,4,3,240.199176
