scenario_b,ts,region,DEV_dis_sl_kW
1,1,1,165.221782
1,1,2,370.530793
1,1,3,241.104126
1,2,1,212.022413
1,2,2,384.254300
1,2,3,222.596777
1,3,1,168.466633
1,3,2,189.588552
1,3,3,187.359737
1,4,1,218.091544
1,4,2,175.984600
1,4,3,353.923324
2,1,1,172.340631
2,1,2,238.218920
2,1,3,325.367772
2,2,1,291.612073
2,2,2,227.150440
2,2,3,186.028157
2,3,1,234.253058
2,3,2,280.681875
2,3,3,300.411261
2,4,1,186.553602
2,4,2,216.487653
2,4,3,155.466420
3,1,1,173.771199
3,1,2,365.112878
3,1,3,203.056655
3,2,1,120.178418
3,2,2,362.217577
3,2,3,197.904736
3,3,1,186.274904
3,3,2,158.121252
3,3,3,237.555655
3,4,1,164.716942
3,4,2,230.906346
3,4,3,339.272663
4,1,1,242.193448
4,1,2,148.384582
4,1,3,267.878865
4,2,1,157.449164
4,2,2,216.815353
4,2,3,196.103571
4,3,1,214.079937
4,3,2,174.717866
4,3,3,255.645419
4,4,1,232.598677
4,4,2,372.059862
4,4,3,416.798100
5,1,1,266.125700
5,1,2,306.144447
5,1,3,173.347829
5,2,1,158.378570
5,2,2,217.060288
5,2,3,199.227027
5,3,1,164.298118
5,3,2,276.466342
5,3,3,192.168591
5,4,1,215.117415
5,4,2,253.765096
5,4,3,256.066193
6,1,1,269.098732
6,1,2,214.015343
6,1,3,308.360574
6,2,1,192.515690
6,2,2,186.030594
6,2,3,227.655810
6,3,1,196.266192
6,3,2,322.941876
6,3,3,271.046325
6,4,1,354.720862
6,4,2,256.763090
6,4,3,233.434834
7,1,1,235.778098
7,1,2,323.191379
7,1,3,210.219326
7,2,1,194.916337
7,2,2,266.835892
7,2,3,270.279129
7,3,1,139.533753
7,3,2,248.037751
7,3,3,231.516998
7,4,1,193.217161
7,4,2,351.797827
7,4,3,275.555392
8,1,1,319.654186
8,1,2,228.644014
8,1,3,184.509848
8,2,1,209.867401
8,2,2,178.657530
8,2,3,247.302959
8,3,1,259.301991
8,3,2,223.702941
8,3,3,219.737041
8,4,1,352.103988
8,4,2,263.375485
8,4,3,348.134618
9,1,1,172.175892
9,1,2,344.137055
9,1,3,255.740895
9,2,1,121.469372
9,2,2,300.433375
9,2,3,172.152594
9,3,1,174.782572
9,3,2,272.452603
9,3,3,251.281210
9,4,1,197.984488
9,4,2,268.757615
9,4,3,153.758601
10,1,1,234.175378
10,1,2,259.755962
10,1,3,279.157769
10,2,1,228.406730
10,2,2,188.603904
10,2,3,294.201817
10,3,1,284.321932
10,3,2,238.999625
10,3,3,214.316793
10,4,1,231.675961
10,4,2,255.287313
10,4,3,324.801562
