scenario_a,t,region,DEV_ch_fa_kW
1,1,1,0.000000
1,1,2,0.000000
1,1,3,0.000000
1,2,1,0.000000
1,2,2,0.000000
1,2,3,0.000000
1,3,1,0.000000
1,3,2,0.000000
1,3,3,0.000000
1,4,1,0.000000
1,4,2,0.000000
1,4,3,0.000000
1,5,1,0.000000
1,5,2,0.000000
1,5,3,0.000000
1,6,1,0.000000
1,6,2,0.000000
1,6,3,88.650060
1,7,1,123.941630
1,7,2,0.000000
1,7,3,64.802873
1,8,1,47.563662
1,8,2,108.830216
1,8,3,159.396727
1,9,1,48.211306
1,9,2,152.309196
1,9,3,160.000000
1,10,1,105.831463
1,10,2,227.870177
1,10,3,142.601528
1,11,1,22.214733
1,11,2,78.691793
1,11,3,68.067501
1,12,1,76.473681
1,12,2,125.439962
1,12,3,31.226036
1,13,1,0.000000
1,13,2,179.020365
1,13,3,129.700204
1,14,1,101.186719
1,14,2,74.309872
1,14,3,269.086187
1,15,1,0.000000
1,15,2,89.400395
1,15,3,125.288929
1,16,1,11.468180
1,16,2,297.536913
1,16,3,404.205603
1,17,1,118.887439
1,17,2,156.326520
1,17,3,200.906503
1,18,1,99.260571
1,18,2,126.801374
1,18,3,297.197634
1,19,1,59.802402
1,19,2,60.124904
1,19,3,0.000000
1,20,1,33.243943
1,20,2,44.800000
1,20,3,0.000000
1,21,1,0.000000
1,21,2,0.000000
1,21,3,47.523209
1,22,1,0.000000
1,22,2,50.996327
1,22,3,0.000000
1,23,1,0.000000
1,23,2,0.000000
1,23,3,0.000000
1,24,1,0.000000
1,24,2,0.000000
1,24,3,0.000000
2,1,1,0.000000
2,1,2,0.000000
2,1,3,0.000000
2,2,1,0.000000
2,2,2,0.000000
2,2,3,0.000000
2,3,1,0.000000
2,3,2,0.000000
2,3,3,0.000000
2,4,1,0.000000
2,4,2,0.000000
2,4,3,0.000000
2,5,1,0.000000
2,5,2,0.000000
2,5,3,0.000000
2,6,1,0.000000
2,6,2,0.000000
2,6,3,10.252465
2,7,1,16.171621
2,7,2,105.445133
2,7,3,92.734829
2,8,1,226.541238
2,8,2,49.681097
2,8,3,110.812326
2,9,1,12.269441
2,9,2,48.390606
2,9,3,107.542731
2,10,1,260.103867
2,10,2,144.145939
2,10,3,240.076321
2,11,1,47.131537
2,11,2,0.000000
2,11,3,0.000000
2,12,1,0.000000
2,12,2,0.000000
2,12,3,70.141172
2,13,1,310.489723
2,13,2,159.200600
2,13,3,89.257624
2,14,1,105.591011
2,14,2,103.665697
2,14,3,90.056804
2,15,1,54.310523
2,15,2,146.988541
2,15,3,60.436830
2,16,1,42.653294
2,16,2,260.992671
2,16,3,223.266145
2,17,1,111.442950
2,17,2,362.951215
2,17,3,94.156507
2,18,1,194.003531
2,18,2,123.813890
2,18,3,104.598471
2,19,1,22.252194
2,19,2,36.420597
2,19,3,0.000000
2,20,1,61.484716
2,20,2,47.659357
2,20,3,162.904626
2,21,1,0.000000
2,21,2,60.589472
2,21,3,0.000000
2,22,1,38.362136
2,22,2,0.000000
2,22,3,0.000000
2,23,1,0.000000
2,23,2,0.000000
2,23,3,0.000000
2,24,1,0.000000
2,24,2,0.000000
2,24,3,0.000000
3,1,1,0.000000
3,1,2,0.000000
3,1,3,0.000000
3,2,1,0.000000
3,2,2,0.000000
3,2,3,0.000000
3,3,1,0.000000
3,3,2,0.000000
3,3,3,0.000000
3,4,1,0.000000
3,4,2,0.000000
3,4,3,0.000000
3,5,1,0.000000
3,5,2,0.000000
3,5,3,0.000000
3,6,1,0.000000
3,6,2,0.000000
3,6,3,100.345802
3,7,1,106.048675
3,7,2,0.000000
3,7,3,114.027795
3,8,1,55.237306
3,8,2,104.751804
3,8,3,255.313120
3,9,1,30.000000
3,9,2,100.470062
3,9,3,92.489439
3,10,1,78.633482
3,10,2,307.121141
3,10,3,170.183216
3,11,1,20.930363
3,11,2,94.686473
3,11,3,59.369576
3,12,1,110.045939
3,12,2,89.727524
3,12,3,31.607253
3,13,1,0.000000
3,13,2,213.765903
3,13,3,183.838477
3,14,1,144.215733
3,14,2,76.900964
3,14,3,309.485828
3,15,1,0.000000
3,15,2,73.676970
3,15,3,217.471843
3,16,1,16.445127
3,16,2,193.633541
3,16,3,311.798573
3,17,1,83.801322
3,17,2,215.843904
3,17,3,246.468006
3,18,1,212.398066
3,18,2,193.454252
3,18,3,256.560189
3,19,1,48.706257
3,19,2,43.566538
3,19,3,0.000000
3,20,1,51.448121
3,20,2,31.263970
3,20,3,0.000000
3,21,1,0.000000
3,21,2,0.000000
3,21,3,54.955131
3,22,1,0.000000
3,22,2,57.324326
3,22,3,0.000000
3,23,1,0.000000
3,23,2,0.000000
3,23,3,0.000000
3,24,1,0.000000
3,24,2,0.000000
3,24,3,0.000000
4,1,1,0.000000
4,1,2,0.000000
4,1,3,0.000000
4,2,1,0.000000
4,2,2,0.000000
4,2,3,0.000000
4,3,1,0.000000
4,3,2,0.000000
4,3,3,0.000000
4,4,1,0.000000
4,4,2,0.000000
4,4,3,0.000000
4,5,1,0.000000
4,5,2,0.000000
4,5,3,0.000000
4,6,1,0.000000
4,6,2,0.000000
4,6,3,12.062201
4,7,1,13.394965
4,7,2,69.351439
4,7,3,60.517037
4,8,1,132.321591
4,8,2,36.483404
4,8,3,152.300636
4,9,1,9.326595
4,9,2,37.067270
4,9,3,126.001049
4,10,1,172.344771
4,10,2,103.886053
4,10,3,275.808666
4,11,1,52.970272
4,11,2,0.000000
4,11,3,0.000000
4,12,1,0.000000
4,12,2,0.000000
4,12,3,65.995307
4,13,1,383.971202
4,13,2,147.739850
4,13,3,59.117958
4,14,1,128.268484
4,14,2,90.171921
4,14,3,79.972196
4,15,1,51.543745
4,15,2,201.976853
4,15,3,61.766830
4,16,1,37.284311
4,16,2,294.791953
4,16,3,200.311106
4,17,1,143.257830
4,17,2,367.239697
4,17,3,90.720525
4,18,1,206.244564
4,18,2,111.506611
4,18,3,157.066314
4,19,1,19.497806
4,19,2,30.670071
4,19,3,0.000000
4,20,1,68.746179
4,20,2,58.426703
4,20,3,90.000000
4,21,1,0.000000
4,21,2,48.820647
4,21,3,0.000000
4,22,1,43.985593
4,22,2,0.000000
4,22,3,0.000000
4,23,1,0.000000
4,23,2,0.000000
4,23,3,0.000000
4,24,1,0.000000
4,24,2,0.000000
4,24,3,0.000000
5,1,1,0.000000
5,1,2,0.000000
5,1,3,0.000000
5,2,1,0.000000
5,2,2,0.000000
5,2,3,0.000000
5,3,1,0.000000
5,3,2,0.000000
5,3,3,0.000000
5,4,1,0.000000
5,4,2,0.000000
5,4,3,0.000000
5,5,1,0.000000
5,5,2,0.000000
5,5,3,0.000000
5,6,1,0.000000
5,6,2,0.000000
5,6,3,78.915929
5,7,1,81.405393
5,7,2,0.000000
5,7,3,121.738544
5,8,1,36.137679
5,8,2,103.061549
5,8,3,224.184767
5,9,1,49.933811
5,9,2,101.016538
5,9,3,120.795367
5,10,1,88.865605
5,10,2,275.162131
5,10,3,181.719319
5,11,1,20.507187
5,11,2,104.741601
5,11,3,86.170977
5,12,1,62.661035
5,12,2,135.133843
5,12,3,26.431189
5,13,1,0.000000
5,13,2,212.621795
5,13,3,117.691361
5,14,1,96.661325
5,14,2,96.026528
5,14,3,190.090591
5,15,1,0.000000
5,15,2,58.859576
5,15,3,190.607159
5,16,1,11.265431
5,16,2,183.819427
5,16,3,283.660086
5,17,1,79.899746
5,17,2,231.601583
5,17,3,285.307173
5,18,1,113.091707
5,18,2,155.843092
5,18,3,351.886213
5,19,1,45.824581
5,19,2,51.038983
5,19,3,0.000000
5,20,1,45.546667
5,20,2,41.057502
5,20,3,0.000000
5,21,1,0.000000
5,21,2,0.000000
5,21,3,49.459852
5,22,1,0.000000
5,22,2,45.709700
5,22,3,0.000000
5,23,1,0.000000
5,23,2,0.000000
5,23,3,0.000000
5,24,1,0.000000
5,24,2,0.000000
5,24,3,0.000000
6,1,1,0.000000
6,1,2,0.000000
6,1,3,0.000000
6,2,1,0.000000
6,2,2,0.000000
6,2,3,0.000000
6,3,1,0.000000
6,3,2,0.000000
6,3,3,0.000000
6,4,1,0.000000
6,4,2,0.000000
6,4,3,0.000000
6,5,1,0.000000
6,5,2,0.000000
6,5,3,0.000000
6,6,1,0.000000
6,6,2,0.000000
6,6,3,12.659065
6,7,1,12.299587
6,7,2,72.147372
6,7,3,65.459886
6,8,1,176.477488
6,8,2,68.831909
6,8,3,132.883934
6,9,1,8.645168
6,9,2,43.192525
6,9,3,107.976823
6,10,1,191.855250
6,10,2,101.368775
6,10,3,187.372375
6,11,1,44.702753
6,11,2,0.000000
6,11,3,0.000000
6,12,1,0.000000
6,12,2,0.000000
6,12,3,33.783161
6,13,1,294.287961
6,13,2,114.724162
6,13,3,74.951502
6,14,1,134.160580
6,14,2,125.826123
6,14,3,73.101945
6,15,1,45.468719
6,15,2,144.192294
6,15,3,91.926847
6,16,1,65.100271
6,16,2,290.853597
6,16,3,368.511839
6,17,1,158.351420
6,17,2,230.187935
6,17,3,70.210510
6,18,1,198.080725
6,18,2,137.876487
6,18,3,214.336760
6,19,1,15.481712
6,19,2,30.209011
6,19,3,0.000000
6,20,1,30.762166
6,20,2,45.816716
6,20,3,153.524082
6,21,1,0.000000
6,21,2,46.617174
6,21,3,0.000000
6,22,1,20.580369
6,22,2,0.000000
6,22,3,0.000000
6,23,1,0.000000
6,23,2,0.000000
6,23,3,0.000000
6,24,1,0.000000
6,24,2,0.000000
6,24,3,0.000000
7,1,1,0.000000
7,1,2,0.000000
7,1,3,0.000000
7,2,1,0.000000
7,2,2,0.000000
7,2,3,0.000000
7,3,1,0.000000
7,3,2,0.000000
7,3,3,0.000000
7,4,1,0.000000
7,4,2,0.000000
7,4,3,0.000000
7,5,1,0.000000
7,5,2,0.000000
7,5,3,0.000000
7,6,1,0.000000
7,6,2,0.000000
7,6,3,85.453622
7,7,1,97.079041
7,7,2,0.000000
7,7,3,109.045918
7,8,1,53.877011
7,8,2,92.551881
7,8,3,171.573804
7,9,1,54.622956
7,9,2,136.977160
7,9,3,98.491904
7,10,1,81.463297
7,10,2,240.223484
7,10,3,130.559499
7,11,1,24.157924
7,11,2,120.692142
7,11,3,77.925338
7,12,1,99.971411
7,12,2,145.292922
7,12,3,30.561813
7,13,1,0.000000
7,13,2,186.131713
7,13,3,152.742080
7,14,1,152.758195
7,14,2,76.462554
7,14,3,312.112586
7,15,1,0.000000
7,15,2,63.446319
7,15,3,194.767606
7,16,1,13.776566
7,16,2,265.429201
7,16,3,419.535917
7,17,1,71.168170
7,17,2,238.560493
7,17,3,253.720773
7,18,1,136.281387
7,18,2,110.120948
7,18,3,234.973746
7,19,1,46.931862
7,19,2,67.828530
7,19,3,0.000000
7,20,1,44.993784
7,20,2,29.517634
7,20,3,0.000000
7,21,1,0.000000
7,21,2,0.000000
7,21,3,71.982065
7,22,1,0.000000
7,22,2,46.422416
7,22,3,0.000000
7,23,1,0.000000
7,23,2,0.000000
7,23,3,0.000000
7,24,1,0.000000
7,24,2,0.000000
7,24,3,0.000000
8,1,1,0.000000
8,1,2,0.000000
8,1,3,0.000000
8,2,1,0.000000
8,2,2,0.000000
8,2,3,0.000000
8,3,1,0.000000
8,3,2,0.000000
8,3,3,0.000000
8,4,1,0.000000
8,4,2,0.000000
8,4,3,0.000000
8,5,1,0.000000
8,5,2,0.000000
8,5,3,0.000000
8,6,1,0.000000
8,6,2,0.000000
8,6,3,10.123397
8,7,1,22.020553
8,7,2,87.720033
8,7,3,89.564743
8,8,1,159.705108
8,8,2,44.054321
8,8,3,150.914639
8,9,1,10.792068
8,9,2,47.087744
8,9,3,128.142013
8,10,1,139.276702
8,10,2,91.279057
8,10,3,242.302660
8,11,1,53.747766
8,11,2,0.000000
8,11,3,0.000000
8,12,1,0.000000
8,12,2,0.000000
8,12,3,43.680913
8,13,1,272.845396
8,13,2,186.565051
8,13,3,77.050143
8,14,1,167.410625
8,14,2,105.150391
8,14,3,90.456279
8,15,1,50.307299
8,15,2,130.703012
8,15,3,67.214886
8,16,1,47.986016
8,16,2,230.463657
8,16,3,228.058668
8,17,1,142.650460
8,17,2,278.952749
8,17,3,87.408187
8,18,1,183.969468
8,18,2,161.687061
8,18,3,135.141460
8,19,1,19.258833
8,19,2,35.392964
8,19,3,0.000000
8,20,1,46.039028
8,20,2,47.783134
8,20,3,156.115949
8,21,1,0.000000
8,21,2,54.654933
8,21,3,0.000000
8,22,1,43.856661
8,22,2,0.000000
8,22,3,0.000000
8,23,1,0.000000
8,23,2,0.000000
8,23,3,0.000000
8,24,1,0.000000
8,24,2,0.000000
8,24,3,0.000000
9,1,1,0.000000
9,1,2,0.000000
9,1,3,0.000000
9,2,1,0.000000
9,2,2,0.000000
9,2,3,0.000000
9,3,1,0.000000
9,3,2,0.000000
9,3,3,0.000000
9,4,1,0.000000
9,4,2,0.000000
