scenario_a,t,region,DEV_ch_sl_kW
1,1,1,152.055769
1,1,2,164.897819
1,1,3,211.292791
1,2,1,207.660296
1,2,2,191.776802
1,2,3,283.345498
1,3,1,149.063303
1,3,2,148.426573
1,3,3,213.770523
1,4,1,222.223913
1,4,2,131.291866
1,4,3,266.338420
1,5,1,145.082966
1,5,2,131.752803
1,5,3,217.880074
1,6,1,162.148822
1,6,2,161.461671
1,6,3,180.641897
1,7,1,231.877121
1,7,2,170.605684
1,7,3,131.116697
1,8,1,163.446818
1,8,2,165.635381
1,8,3,172.901210
1,9,1,152.593606
1,9,2,178.673687
1,9,3,288.385600
1,10,1,183.407283
1,10,2,106.743494
1,10,3,160.927962
1,11,1,116.877262
1,11,2,91.502029
1,11,3,122.836842
1,12,1,110.913433
1,12,2,117.803142
1,12,3,158.855768
1,13,1,98.055958
1,13,2,118.796036
1,13,3,144.640465
1,14,1,136.468688
1,14,2,138.037767
1,14,3,176.707036
1,15,1,166.560092
1,15,2,167.169570
1,15,3,150.162421
1,16,1,130.299235
1,16,2,149.364693
1,16,3,240.215173
1,17,1,193.667130
1,17,2,108.168737
1,17,3,132.932605
1,18,1,108.163582
1,18,2,103.629627
1,18,3,164.946875
1,19,1,233.492498
1,19,2,166.089033
1,19,3,186.446356
1,20,1,114.680948
1,20,2,223.857600
1,20,3,206.892679
1,21,1,133.187421
1,21,2,110.519126
1,21,3,190.999580
1,22,1,162.671328
1,22,2,155.284836
1,22,3,209.076328
1,23,1,144.865188
1,23,2,159.548498
1,23,3,163.541212
1,24,1,147.213708
1,24,2,142.634788
1,24,3,326.851200
2,1,1,130.691942
2,1,2,193.146761
2,1,3,156.340450
2,2,1,196.914178
2,2,2,151.589812
2,2,3,265.064191
2,3,1,175.948991
2,3,2,141.195645
2,3,3,148.528280
2,4,1,113.466481
2,4,2,109.597877
2,4,3,222.616625
2,5,1,121.368596
2,5,2,106.826211
2,5,3,184.198942
2,6,1,183.983230
2,6,2,190.207849
2,6,3,174.308701
2,7,1,175.263315
2,7,2,180.454474
2,7,3,212.587463
2,8,1,262.433574
2,8,2,123.200179
2,8,3,135.351424
2,9,1,200.010128
2,9,2,101.470262
2,9,3,177.225044
2,10,1,237.615287
2,10,2,110.059000
2,10,3,191.935017
2,11,1,143.036675
2,11,2,116.521531
2,11,3,114.549951
2,12,1,168.836006
2,12,2,80.385540
2,12,3,205.782977
2,13,1,150.809016
2,13,2,108.994037
2,13,3,210.513136
2,14,1,125.279501
2,14,2,118.682578
2,14,3,211.100882
2,15,1,160.289835
2,15,2,92.249671
2,15,3,149.658836
2,16,1,137.730898
2,16,2,106.905420
2,16,3,129.242562
2,17,1,93.975063
2,17,2,139.262365
2,17,3,174.237782
2,18,1,105.584387
2,18,2,128.560411
2,18,3,121.178418
2,19,1,174.634728
2,19,2,129.018067
2,19,3,223.706654
2,20,1,158.142378
2,20,2,141.036429
2,20,3,189.700264
2,21,1,157.940752
2,21,2,186.943968
2,21,3,198.709041
2,22,1,158.979885
2,22,2,168.866295
2,22,3,202.517869
2,23,1,186.576299
2,23,2,144.080534
2,23,3,236.955689
