scenario_b,ts,region,DEV_dis_fa_kW
1,1,1,215.363581
1,1,2,153.126528
1,1,3,60.986397
1,2,1,111.155223
1,2,2,72.540000
1,2,3,371.714306
1,3,1,52.225252
1,3,2,283.280372
1,3,3,173.296936
1,4,1,275.800989
1,4,2,169.658571
1,4,3,413.334803
2,1,1,175.387525
2,1,2,249.548097
2,1,3,205.533375
2,2,1,57.738369
2,2,2,60.467816
2,2,3,229.822363
2,3,1,0.000000
2,3,2,25.098011
2,3,3,138.992319
2,4,1,191.973502
2,4,2,93.723395
2,4,3,172.457172
3,1,1,226.507592
3,1,2,150.887507
3,1,3,51.362430
3,2,1,63.004938
3,2,2,68.379880
3,2,3,330.481071
3,3,1,57.745881
3,3,2,236.262404
3,3,3,219.725262
3,4,1,208.302875
3,4,2,222.606073
3,4,3,396.224804
4,1,1,246.475305
4,1,2,155.441433
4,1,3,169.217889
4,2,1,31.174491
4,2,2,57.716598
4,2,3,242.269702
4,3,1,0.000000
4,3,2,15.622922
4,3,3,118.280352
4,4,1,239.356314
4,4,2,161.074836
4,4,3,462.349500
5,1,1,346.890000
5,1,2,126.518058
5,1,3,43.847693
5,2,1,83.031813
5,2,2,40.976909
5,2,3,332.689164
5,3,1,50.933000
5,3,2,413.091861
5,3,3,177.744849
5,4,1,272.039873
5,4,2,244.643130
5,4,3,299.050845
6,1,1,273.856260
6,1,2,224.193450
6,1,3,194.790005
6,2,1,38.117563
6,2,2,49.521645
6,2,3,281.249879
6,3,1,0.000000
6,3,2,28.876815
6,3,3,125.405943
6,4,1,365.026486
6,4,2,111.159728
6,4,3,258.946666
7,1,1,307.332453
7,1,2,133.562917
7,1,3,53.174202
7,2,1,102.187162
7,2,2,50.373609
7,2,3,451.339051
7,3,1,43.255958
7,3,2,370.614286
7,3,3,214.139853
7,4,1,244.344568
7,4,2,339.151931
7,4,3,321.811606
8,1,1,325.305508
8,1,2,239.517830
8,1,3,116.554052
8,2,1,41.553155
8,2,2,47.558923
8,2,3,305.522303
8,3,1,0.000000
8,3,2,20.003068
8,3,3,101.666499
8,4,1,362.333586
8,4,2,114.022413
8,4,3,386.181862
9,1,1,224.428137
9,1,2,142.218983
9,1,3,64.688713
9,2,1,63.681735
9,2,2,56.716182
9,2,3,287.477574
9,3,1,54.183218
9,3,2,407.094592
9,3,3,232.420606
9,4,1,250.373384
9,4,2,259.096722
9,4,3,179.569348
10,1,1,238.315479
10,1,2,272.109395
10,1,3,176.342722
10,2,1,45.223889
10,2,2,50.206665
10,2,3,363.461952
10,3,1,0.000000
10,3,2,21.370867
10,3,3,99.158694
10,4,1,238.406790
10,4,2,110.520824
10,4,3,360.298764
