scenario_b,ts,region,DEV_dis_sl_kW
1,1,1,330.443564
1,1,2,741.061586
1,1,3,482.208252
1,2,1,424.044826
1,2,2,768.508600
1,2,3,445.193554
1,3,1,336.933266
1,3,2,379.177104
1,3,3,374.719474
1,4,1,436.183088
1,4,2,351.969200
1,4,3,707.846648
2,1,1,344.681262
2,1,2,476.437840
2,1,3,650.735544
2,2,1,583.224146
2,2,2,454.300880
2,2,3,372.056314
2,3,1,468.506116
2,3,2,561.363750
2,3,3,600.822522
2,4,1,373.107204
2,4,2,432.975306
2,4,3,310.932840
3,1,1,347.542398
3,1,2,730.225756
3,1,3,406.113310
3,2,1,240.356836
3,2,2,724.435154
3,2,3,395.809472
3,3,1,372.549808
3,3,2,316.242504
3,3,3,475.111310
3,4,1,329.433884
3,4,2,461.812692
3,4,3,678.545326
4,1,1,484.386896
4,1,2,296.769164
4,1,3,535.757730
4,2,1,314.898328
4,2,2,433.630706
4,2,3,392.207142
4,3,1,428.159874
4,3,2,349.435732
4,3,3,511.290838
4,4,1,465.197354
4,4,2,744.119724
4,4,3,833.596200
5,1,1,532.251400
5,1,2,612.288894
5,1,3,346.695658
5,2,1,316.757140
5,2,2,434.120576
5,2,3,398.454054
5,3,1,328.596236
5,3,2,552.932684
5,3,3,384.337182
5,4,1,430.234830
5,4,2,507.530192
5,4,3,512.132386
6,1,1,538.197464
6,1,2,428.030686
6,1,3,616.721148
6,2,1,385.031380
6,2,2,372.061188
6,2,3,455.311620
6,3,1,392.532384
6,3,2,645.883752
6,3,3,542.092650
6,4,1,709.441724
6,4,2,513.526180
6,4,3,466.869668
7,1,1,471.556196
7,1,2,646.382758
7,1,3,420.438652
7,2,1,389.832674
7,2,2,533.671784
7,2,3,540.558258
7,3,1,279.067506
7,3,2,496.075502
7,3,3,463.033996
7,4,1,386.434322
7,4,2,703.595654
7,4,3,551.110784
8,1,1,639.308372
8,1,2,457.288028
8,1,3,369.019696
8,2,1,419.734802
8,2,2,357.315060
8,2,3,494.605918
8,3,1,518.603982
8,3,2,447.405882
8,3,3,439.474082
8,4,1,704.207976
8,4,2,526.750970
8,4,3,696.269236
9,1,1,344.351784
9,1,2,688.274110
9,1,3,511.481790
9,2,1,242.938744
9,2,2,600.866750
9,2,3,344.305188
9,3,1,349.565144
9,3,2,544.905206
9,3,3,502.562420
9,4,1,395.968976
9,4,2,537.515230
9,4,3,307.517202
10,1,1,468.350756
10,1,2,519.511924
10,1,3,558.315538
10,2,1,456.813460
10,2,2,377.207808
10,2,3,588.403634
10,3,1,568.643864
10,3,2,477.999250
10,3,3,428.633586
10,4,1,463.351922
10,4,2,510.574626
10,4,3,649.603124
