scenario_a,t,region,DEV_ch_fa_kW
1,1,1,0.000000
1,1,2,0.000000
1,1,3,0.000000
1,2,1,0.000000
1,2,2,0.000000
1,2,3,0.000000
1,3,1,0.000000
1,3,2,0.000000
1,3,3,0.000000
1,4,1,0.000000
1,4,2,0.000000
1,4,3,0.000000
1,5,1,0.000000
1,5,2,0.000000
1,5,3,0.000000
1,6,1,0.000000
1,6,2,0.000000
1,6,3,177.300120
1,7,1,247.883260
1,7,2,0.000000
1,7,3,129.605746
1,8,1,95.127324
1,8,2,217.660432
1,8,3,318.793454
1,9,1,96.422612
1,9,2,304.618392
1,9,3,320.000000
1,10,1,211.662926
1,10,2,455.740354
1,10,3,285.203056
1,11,1,44.429466
1,11,2,157.383586
1,11,3,136.135002
1,12,1,152.947362
1,12,2,250.879924
1,12,3,62.452072
1,13,1,0.000000
1,13,2,358.040730
1,13,3,259.400408
1,14,1,202.373438
1,14,2,148.619744
1,14,3,538.172374
1,15,1,0.000000
1,15,2,178.800790
1,15,3,250.577858
1,16,1,22.936360
1,16,2,595.073826
1,16,3,808.411206
1,17,1,237.774878
1,17,2,312.653040
1,17,3,401.813006
1,18,1,198.521142
1,18,2,253.602748
1,18,3,594.395268
1,19,1,119.604804
1,19,2,120.249808
1,19,3,0.000000
1,20,1,66.487886
1,20,2,89.600000
1,20,3,0.000000
1,21,1,0.000000
1,21,2,0.000000
1,21,3,95.046418
1,22,1,0.000000
1,22,2,101.992654
1,22,3,0.000000
1,23,1,0.000000
1,23,2,0.000000
1,23,3,0.000000
1,24,1,0.000000
1,24,2,0.000000
1,24,3,0.000000
2,1,1,0.000000
2,1,2,0.000000
2,1,3,0.000000
2,2,1,0.000000
2,2,2,0.000000
2,2,3,0.000000
2,3,1,0.000000
2,3,2,0.000000
2,3,3,0.000000
2,4,1,0.000000
2,4,2,0.000000
2,4,3,0.000000
2,5,1,0.000000
2,5,2,0.000000
2,5,3,0.000000
2,6,1,0.000000
2,6,2,0.000000
2,6,3,20.504930
2,7,1,32.343242
2,7,2,210.890266
2,7,3,185.469658
2,8,1,453.082476
2,8,2,99.362194
2,8,3,221.624652
2,9,1,24.538882
2,9,2,96.781212
2,9,3,215.085462
2,10,1,520.207734
2,10,2,288.291878
2,10,3,480.152642
2,11,1,94.263074
2,11,2,0.000000
2,11,3,0.000000
2,12,1,0.000000
2,12,2,0.000000
2,12,3,140.282344
2,13,1,620.979446
2,13,2,318.401200
2,13,3,178.515248
2,14,1,211.182022
2,14,2,207.331394
2,14,3,180.113608
2,15,1,108.621046
2,15,2,293.977082
2,15,3,120.873660
2,16,1,85.306588
2,16,2,521.985342
2,16,3,446.532290
2,17,1,222.885900
2,17,2,725.902430
2,17,3,188.313014
2,18,1,388.007062
2,18,2,247.627780
2,18,3,209.196942
2,19,1,44.504388
2,19,2,72.841194
2,19,3,0.000000
2,20,1,122.969432
2,20,2,95.318714
2,20,3,325.809252
2,21,1,0.000000
2,21,2,121.178944
2,21,3,0.000000
2,22,1,76.724272
2,22,2,0.000000
2,22,3,0.000000
2,23,1,0.000000
2,23,2,0.000000
2,23,3,0.000000
2,24,1,0.000000
2,24,2,0.000000
2,24,3,0.000000
3,1,1,0.000000
3,1,2,0.000000
3,1,3,0.000000
3,2,1,0.000000
3,2,2,0.000000
3,2,3,0.000000
3,3,1,0.000000
3,3,2,0.000000
3,3,3,0.000000
3,4,1,0.000000
3,4,2,0.000000
3,4,3,0.000000
3,5,1,0.000000
3,5,2,0.000000
3,5,3,0.000000
3,6,1,0.000000
3,6,2,0.000000
3,6,3,200.691604
3,7,1,212.097350
3,7,2,0.000000
3,7,3,228.055590
3,8,1,110.474612
3,8,2,209.503608
3,8,3,510.626240
3,9,1,60.000000
3,9,2,200.940124
3,9,3,184.978878
3,10,1,157.266964
3,10,2,614.242282
3,10,3,340.366432
3,11,1,41.860726
3,11,2,189.372946
3,11,3,118.739152
3,12,1,220.091878
3,12,2,179.455048
3,12,3,63.214506
3,13,1,0.000000
3,13,2,427.531806
3,13,3,367.676954
3,14,1,288.431466
3,14,2,153.801928
3,14,3,618.971656
3,15,1,0.000000
3,15,2,147.353940
3,15,3,434.943686
3,16,1,32.890254
3,16,2,387.267082
3,16,3,623.597146
3,17,1,167.602644
3,17,2,431.687808
3,17,3,492.936012
3,18,1,424.796132
3,18,2,386.908504
3,18,3,513.120378
3,19,1,97.412514
3,19,2,87.133076
3,19,3,0.000000
3,20,1,102.896242
3,20,2,62.527940
3,20,3,0.000000
3,21,1,0.000000
3,21,2,0.000000
3,21,3,109.910262
3,22,1,0.000000
3,22,2,114.648652
3,22,3,0.000000
3,23,1,0.000000
3,23,2,0.000000
3,23,3,0.000000
3,24,1,0.000000
3,24,2,0.000000
3,24,3,0.000000
4,1,1,0.000000
4,1,2,0.000000
4,1,3,0.000000
4,2,1,0.000000
4,2,2,0.000000
4,2,3,0.000000
4,3,1,0.000000
4,3,2,0.000000
4,3,3,0.000000
4,4,1,0.000000
4,4,2,0.000000
4,4,3,0.000000
4,5,1,0.000000
4,5,2,0.000000
4,5,3,0.000000
4,6,1,0.000000
4,6,2,0.000000
4,6,3,24.124402
4,7,1,26.789930
4,7,2,138.702878
4,7,3,121.034074
4,8,1,264.643182
4,8,2,72.966808
4,8,3,304.601272
4,9,1,18.653190
4,9,2,74.134540
4,9,3,252.002098
4,10,1,344.689542
4,10,2,207.772106
4,10,3,551.617332
4,11,1,105.940544
4,11,2,0.000000
4,11,3,0.000000
4,12,1,0.000000
4,12,2,0.000000
4,12,3,131.990614
4,13,1,767.942404
4,13,2,295.479700
4,13,3,118.235916
4,14,1,256.536968
4,14,2,180.343842
4,14,3,159.944392
4,15,1,103.087490
4,15,2,403.953706
4,15,3,123.533660
4,16,1,74.568622
4,16,2,589.583906
4,16,3,400.622212
4,17,1,286.515660
4,17,2,734.479394
4,17,3,181.441050
4,18,1,412.489128
4,18,2,223.013222
4,18,3,314.132628
4,19,1,38.995612
4,19,2,61.340142
4,19,3,0.000000
4,20,1,137.492358
4,20,2,116.853406
4,20,3,180.000000
4,21,1,0.000000
4,21,2,97.641294
4,21,3,0.000000
4,22,1,87.971186
4,22,2,0.000000
4,22,3,0.000000
4,23,1,0.000000
4,23,2,0.000000
4,23,3,0.000000
4,24,1,0.000000
4,24,2,0.000000
4,24,3,0.000000
5,1,1,0.000000
5,1,2,0.000000
5,1,3,0.000000
5,2,1,0.000000
5,2,2,0.000000
5,2,3,0.000000
5,3,1,0.000000
5,3,2,0.000000
5,3,3,0.000000
5,4,1,0.000000
5,4,2,0.000000
5,4,3,0.000000
5,5,1,0.000000
5,5,2,0.000000
5,5,3,0.000000
5,6,1,0.000000
5,6,2,0.000000
5,6,3,157.831858
5,7,1,162.810786
5,7,2,0.000000
5,7,3,243.477088
5,8,1,72.275358
5,8,2,206.123098
5,8,3,448.369534
5,9,1,99.867622
5,9,2,202.033076
5,9,3,241.590734
5,10,1,177.731210
5,10,2,550.324262
5,10,3,363.438638
5,11,1,41.014374
5,11,2,209.483202
5,11,3,172.341954
5,12,1,125.322070
5,12,2,270.267686
5,12,3,52.862378
5,13,1,0.000000
5,13,2,425.243590
5,13,3,235.382722
5,14,1,193.322650
5,14,2,192.053056
5,14,3,380.181182
5,15,1,0.000000
5,15,2,117.719152
5,15,3,381.214318
5,16,1,22.530862
5,16,2,367.638854
5,16,3,567.320172
5,17,1,159.799492
5,17,2,463.203166
5,17,3,570.614346
5,18,1,226.183414
5,18,2,311.686184
5,18,3,703.772426
5,19,1,91.649162
5,19,2,102.077966
5,19,3,0.000000
5,20,1,91.093334
5,20,2,82.115004
5,20,3,0.000000
5,21,1,0.000000
5,21,2,0.000000
5,21,3,98.919704
5,22,1,0.000000
5,22,2,91.419400
5,22,3,0.000000
5,23,1,0.000000
5,23,2,0.000000
5,23,3,0.000000
5,24,1,0.000000
5,24,2,0.000000
5,24,3,0.000000
6,1,1,0.000000
6,1,2,0.000000
6,1,3,0.000000
6,2,1,0.000000
6,2,2,0.000000
6,2,3,0.000000
6,3,1,0.000000
6,3,2,0.000000
6,3,3,0.000000
6,4,1,0.000000
6,4,2,0.000000
6,4,3,0.000000
6,5,1,0.000000
6,5,2,0.000000
6,5,3,0.000000
6,6,1,0.000000
6,6,2,0.000000
6,6,3,25.318130
6,7,1,24.599174
6,7,2,144.294744
6,7,3,130.919772
6,8,1,352.954976
6,8,2,137.663818
6,8,3,265.767868
6,9,1,17.290336
6,9,2,86.385050
6,9,3,215.953646
6,10,1,383.710500
6,10,2,202.737550
6,10,3,374.744750
6,11,1,89.405506
6,11,2,0.000000
6,11,3,0.000000
6,12,1,0.000000
6,12,2,0.000000
6,12,3,67.566322
6,13,1,588.575922
6,13,2,229.448324
6,13,3,149.903004
6,14,1,268.321160
6,14,2,251.652246
6,14,3,146.203890
6,15,1,90.937438
6,15,2,288.384588
6,15,3,183.853694
6,16,1,130.200542
6,16,2,581.707194
6,16,3,737.023678
6,17,1,316.702840
6,17,2,460.375870
6,17,3,140.421020
6,18,1,396.161450
6,18,2,275.752974
6,18,3,428.673520
6,19,1,30.963424
6,19,2,60.418022
6,19,3,0.000000
6,20,1,61.524332
6,20,2,91.633432
6,20,3,307.048164
6,21,1,0.000000
6,21,2,93.234348
6,21,3,0.000000
6,22,1,41.160738
6,22,2,0.000000
6,22,3,0.000000
6,23,1,0.000000
6,23,2,0.000000
6,23,3,0.000000
6,24,1,0.000000
6,24,2,0.000000
6,24,3,0.000000
7,1,1,0.000000
7,1,2,0.000000
7,1,3,0.000000
7,2,1,0.000000
7,2,2,0.000000
7,2,3,0.000000
7,3,1,0.000000
7,3,2,0.000000
7,3,3,0.000000
7,4,1,0.000000
7,4,2,0.000000
7,4,3,0.000000
7,5,1,0.000000
7,5,2,0.000000
7,5,3,0.000000
7,6,1,0.000000
7,6,2,0.000000
7,6,3,170.907244
7,7,1,194.158082
7,7,2,0.000000
7,7,3,218.091836
7,8,1,107.754022
7,8,2,185.103762
7,8,3,343.147608
7,9,1,109.245912
7,9,2,273.954320
7,9,3,196.983808
7,10,1,162.926594
7,10,2,480.446968
7,10,3,261.118998
7,11,1,48.315848
7,11,2,241.384284
7,11,3,155.850676
7,12,1,199.942822
7,12,2,290.585844
7,12,3,61.123626
7,13,1,0.000000
7,13,2,372.263426
7,13,3,305.484160
7,14,1,305.516390
7,14,2,152.925108
7,14,3,624.225172
7,15,1,0.000000
7,15,2,126.892638
7,15,3,389.535212
7,16,1,27.553132
7,16,2,530.858402
7,16,3,839.071834
7,17,1,142.336340
7,17,2,477.120986
7,17,3,507.441546
7,18,1,272.562774
7,18,2,220.241896
7,18,3,469.947492
7,19,1,93.863724
7,19,2,135.657060
7,19,3,0.000000
7,20,1,89.987568
7,20,2,59.035268
7,20,3,0.000000
7,21,1,0.000000
7,21,2,0.000000
7,21,3,143.964130
7,22,1,0.000000
7,22,2,92.844832
7,22,3,0.000000
7,23,1,0.000000
7,23,2,0.000000
7,23,3,0.000000
7,24,1,0.000000
7,24,2,0.000000
7,24,3,0.000000
8,1,1,0.000000
8,1,2,0.000000
8,1,3,0.000000
8,2,1,0.000000
8,2,2,0.000000
8,2,3,0.000000
8,3,1,0.000000
8,3,2,0.000000
8,3,3,0.000000
8,4,1,0.000000
8,4,2,0.000000
8,4,3,0.000000
8,5,1,0.000000
8,5,2,0.000000
8,5,3,0.000000
8,6,1,0.000000
8,6,2,0.000000
8,6,3,20.246794
8,7,1,44.041106
8,7,2,175.440066
8,7,3,179.129486
8,8,1,319.410216
8,8,2,88.108642
8,8,3,301.829278
8,9,1,21.584136
8,9,2,94.175488
8,9,3,256.284026
8,10,1,278.553404
8,10,2,182.558114
8,10,3,484.605320
8,11,1,107.495532
8,11,2,0.000000
8,11,3,0.000000
8,12,1,0.000000
8,12,2,0.000000
8,12,3,87.361826
8,13,1,545.690792
8,13,2,373.130102
8,13,3,154.100286
8,14,1,334.821250
8,14,2,210.300782
8,14,3,180.912558
8,15,1,100.614598
8,15,2,261.406024
8,15,3,134.429772
8,16,1,95.972032
8,16,2,460.927314
8,16,3,456.117336
8,17,1,285.300920
8,17,2,557.905498
8,17,3,174.816374
8,18,1,367.938936
8,18,2,323.374122
8,18,3,270.282920
8,19,1,38.517666
8,19,2,70.785928
8,19,3,0.000000
8,20,1,92.078056
8,20,2,95.566268
8,20,3,312.231898
8,21,1,0.000000
8,21,2,109.309866
8,21,3,0.000000
8,22,1,87.713322
8,22,2,0.000000
8,22,3,0.000000
8,23,1,0.000000
8,23,2,0.000000
8,23,3,0.000000
8,24,1,0.000000
8,24,2,0.000000
8,24,3,0.000000
9,1,1,0.000000
9,1,2,0.000000
9,1,3,0.000000
9,2,1,0.000000
9,2,2,0.000000
9,2,3,0.000000
9,3,1,0.000000
9,3,2,0.000000
9,3,3,0.000000
9,4,1,0.000000
9,4,2,0.000000
