scenario_a,t,region,DEV_ch_sl_kW
1,1,1,304.111538
1,1,2,329.795638
1,1,3,422.585582
1,2,1,415.320592
1,2,2,383.553604
1,2,3,566.690996
1,3,1,298.126606
1,3,2,296.853146
1,3,3,427.541046
1,4,1,444.447826
1,4,2,262.583732
1,4,3,532.676840
1,5,1,290.165932
1,5,2,263.505606
1,5,3,435.760148
1,6,1,324.297644
1,6,2,322.923342
1,6,3,361.283794
1,7,1,463.754242
1,7,2,341.211368
1,7,3,262.233394
1,8,1,326.893636
1,8,2,331.270762
1,8,3,345.802420
1,9,1,305.187212
1,9,2,357.347374
1,9,3,576.771200
1,10,1,366.814566
1,10,2,213.486988
1,10,3,321.855924
1,11,1,233.754524
1,11,2,183.004058
1,11,3,245.673684
1,12,1,221.826866
1,12,2,235.606284
1,12,3,317.711536
1,13,1,196.111916
1,13,2,237.592072
1,13,3,289.280930
1,14,1,272.937376
1,14,2,276.075534
1,14,3,353.414072
1,15,1,333.120184
1,15,2,334.339140
1,15,3,300.324842
1,16,1,260.598470
1,16,2,298.729386
1,16,3,480.430346
1,17,1,387.334260
1,17,2,216.337474
1,17,3,265.865210
1,18,1,216.327164
1,18,2,207.259254
1,18,3,329.893750
1,19,1,466.984996
1,19,2,332.178066
1,19,3,372.892712
1,20,1,229.361896
1,20,2,447.715200
1,20,3,413.785358
1,21,1,266.374842
1,21,2,221.038252
1,21,3,381.999160
1,22,1,325.342656
1,22,2,310.569672
1,22,3,418.152656
1,23,1,289.730376
1,23,2,319.096996
1,23,3,327.082424
1,24,1,294.427416
1,24,2,285.269576
1,24,3,653.702400
2,1,1,261.383884
2,1,2,386.293522
2,1,3,312.680900
2,2,1,393.828356
2,2,2,303.179624
2,2,3,530.128382
2,3,1,351.897982
2,3,2,282.391290
2,3,3,297.056560
2,4,1,226.932962
2,4,2,219.195754
2,4,3,445.233250
2,5,1,242.737192
2,5,2,213.652422
2,5,3,368.397884
2,6,1,367.966460
2,6,2,380.415698
2,6,3,348.617402
2,7,1,350.526630
2,7,2,360.908948
2,7,3,425.174926
2,8,1,524.867148
2,8,2,246.400358
2,8,3,270.702848
2,9,1,400.020256
2,9,2,202.940524
2,9,3,354.450088
2,10,1,475.230574
2,10,2,220.118000
2,10,3,383.870034
2,11,1,286.073350
2,11,2,233.043062
2,11,3,229.099902
2,12,1,337.672012
2,12,2,160.771080
2,12,3,411.565954
2,13,1,301.618032
2,13,2,217.988074
2,13,3,421.026272
2,14,1,250.559002
2,14,2,237.365156
2,14,3,422.201764
2,15,1,320.579670
2,15,2,184.499342
2,15,3,299.317672
2,16,1,275.461796
2,16,2,213.810840
2,16,3,258.485124
2,17,1,187.950126
2,17,2,278.524730
2,17,3,348.475564
2,18,1,211.168774
2,18,2,257.120822
2,18,3,242.356836
2,19,1,349.269456
2,19,2,258.036134
2,19,3,447.413308
2,20,1,316.284756
2,20,2,282.072858
2,20,3,379.400528
2,21,1,315.881504
2,21,2,373.887936
2,21,3,397.418082
2,22,1,317.959770
2,22,2,337.732590
2,22,3,405.035738
2,23,1,373.152598
2,23,2,288.161068
2,23,3,473.911378
2,24,1,259.054580
2,24,2,394.278370
2,24,3,427.236720
3,1,1,363.465120
3,1,2,310.391784
3,1,3,327.418952
3,2,1,393.403112
3,2,2,370.317820
3,2,3,333.440116
3,3,1,335.382060
3,3,2,453.735666
3,3,3,527.554060
3,4,1,352.836222
3,4,2,294.329546
3,4,3,357.359236
3,5,1,318.513914
3,5,2,312.827736
3,5,3,527.288058
3,6,1,343.426296
3,6,2,307.667548
3,6,3,408.948536
3,7,1,396.803906
3,7,2,218.371710
3,7,3,461.428550
3,8,1,379.632746
3,8,2,318.856388
3,8,3,553.887752
3,9,1,189.906000
3,9,2,235.722556
3,9,3,333.407780
3,10,1,272.545664
3,10,2,287.735622
3,10,3,384.108618
3,11,1,220.239742
3,11,2,220.200968
3,11,3,214.280566
3,12,1,319.209764
3,12,2,168.529774
3,12,3,321.590258
3,13,1,303.233984
3,13,2,283.705620
3,13,3,410.029932
3,14,1,389.002276
3,14,2,285.701940
3,14,3,406.474402
3,15,1,371.441112
3,15,2,275.536754
3,15,3,521.292642
3,16,1,373.692668
3,16,2,194.409588
3,16,3,370.597280
3,17,1,273.023992
3,17,2,298.702518
3,17,3,326.158026
3,18,1,462.897514
3,18,2,316.204648
3,18,3,284.785588
3,19,1,380.337422
3,19,2,240.696408
3,19,3,249.719846
3,20,1,354.959052
3,20,2,312.440954
3,20,3,436.503142
3,21,1,321.528876
3,21,2,246.800638
3,21,3,441.738132
3,22,1,289.230902
3,22,2,349.107438
3,22,3,404.334518
3,23,1,479.578472
3,23,2,385.439944
3,23,3,547.967506
3,24,1,363.545492
3,24,2,297.151138
3,24,3,418.202222
4,1,1,260.548538
4,1,2,373.802370
4,1,3,393.299270
4,2,1,262.076406
4,2,2,309.240226
4,2,3,390.479582
4,3,1,246.759506
4,3,2,264.333596
4,3,3,381.992604
4,4,1,329.865118
4,4,2,246.019284
4,4,3,383.360036
4,5,1,313.981934
4,5,2,237.958040
4,5,3,443.655612
4,6,1,210.927400
4,6,2,266.692198
4,6,3,410.154328
4,7,1,290.341452
4,7,2,237.370416
4,7,3,277.461304
4,8,1,306.572246
4,8,2,180.944550
4,8,3,372.054422
4,9,1,304.074726
4,9,2,155.452718
4,9,3,415.286858
4,10,1,314.887684
4,10,2,158.639156
4,10,3,441.004266
4,11,1,321.512598
4,11,2,183.454226
4,11,3,286.029640
4,12,1,339.649010
4,12,2,174.894706
4,12,3,387.239340
4,13,1,372.999910
4,13,2,202.295252
4,13,3,278.858122
4,14,1,304.370826
4,14,2,206.468220
4,14,3,374.923390
4,15,1,304.248160
4,15,2,253.520418
4,15,3,305.904586
4,16,1,240.788048
4,16,2,241.499944
4,16,3,231.909056
4,17,1,241.606376
4,17,2,281.815664
4,17,3,335.758906
4,18,1,224.492882
4,18,2,231.562644
4,18,3,363.925920
4,19,1,306.036696
4,19,2,217.294260
4,19,3,374.600098
4,20,1,353.638594
4,20,2,345.799610
4,20,3,209.607600
4,21,1,276.255396
4,21,2,301.264398
4,21,3,343.283448
4,22,1,364.569092
4,22,2,253.345730
4,22,3,367.488122
4,23,1,259.110630
4,23,2,345.492628
4,23,3,422.771096
4,24,1,232.139778
4,24,2,292.458164
4,24,3,413.331638
5,1,1,463.318570
5,1,2,389.042868
5,1,3,488.243074
5,2,1,307.666188
5,2,2,342.526994
5,2,3,303.351634
5,3,1,505.064228
5,3,2,325.390206
5,3,3,424.459800
5,4,1,353.354120
5,4,2,380.106600
5,4,3,477.671372
5,5,1,254.902194
5,5,2,305.928230
5,5,3,424.647774
5,6,1,347.122902
5,6,2,303.874764
5,6,3,321.613390
5,7,1,304.595772
5,7,2,229.445942
5,7,3,492.631114
5,8,1,248.365592
5,8,2,313.711384
5,8,3,486.356504
5,9,1,316.091008
5,9,2,237.004696
5,9,3,435.445556
5,10,1,308.010466
5,10,2,257.793868
5,10,3,410.145950
5,11,1,215.786876
5,11,2,243.584972
5,11,3,311.013938
5,12,1,181.760586
5,12,2,253.813714
5,12,3,268.926024
5,13,1,285.510978
5,13,2,282.187184
5,13,3,262.496632
