scenario_b,ts,bus,P_kW
1,1,2,47.063551
1,1,3,58.079879
1,1,4,61.309649
1,1,5,34.450157
1,1,6,41.674450
1,1,7,94.137989
1,1,8,89.846366
1,1,9,25.630080
1,1,10,26.520568
1,1,11,26.598507
1,1,12,21.553103
1,1,13,35.602193
1,1,14,55.755543
1,1,15,24.843513
1,1,16,24.301258
1,1,17,24.121586
1,1,18,47.201288
1,1,19,34.083187
1,1,20,51.254058
1,1,21,55.496280
1,1,22,43.396937
1,1,23,47.460972
1,1,24,142.963206
1,1,25,152.806800
1,1,26,25.600289
1,1,27,22.771845
1,1,28,30.901782
1,1,29,51.598254
1,1,30,82.269616
1,1,31,71.733541
1,1,32,114.180355
1,1,33,26.737986
1,2,2,44.795021
1,2,3,52.201290
1,2,4,59.166241
1,2,5,32.379189
1,2,6,31.323853
1,2,7,107.344888
1,2,8,119.440165
1,2,9,30.109277
1,2,10,28.541364
1,2,11,19.940991
1,2,12,37.822974
1,2,13,42.197407
1,2,14,54.853968
1,2,15,33.157924
1,2,16,32.491382
1,2,17,36.274152
1,2,18,50.192239
1,2,19,51.365466
1,2,20,49.414419
1,2,21,37.414114
1,2,22,36.923900
1,2,23,45.402105
1,2,24,105.057450
1,2,25,99.293700
1,2,26,40.014319
1,2,27,24.189222
1,2,28,29.000588
1,2,29,73.257870
1,2,30,134.094275
1,2,31,58.058135
1,2,32,98.825979
1,2,33,22.960905
1,3,2,54.608445
1,3,3,46.483579
1,3,4,96.666410
1,3,5,29.387574
1,3,6,38.263037
1,3,7,82.476961
1,3,8,79.412288
1,3,9,47.396358
1,3,10,38.388912
1,3,11,21.571452
1,3,12,34.235482
1,3,13,36.223769
1,3,14,91.345714
1,3,15,28.819753
1,3,16,32.286092
1,3,17,25.386210
1,3,18,62.974193
1,3,19,56.545020
1,3,20,55.073057
1,3,21,39.982602
1,3,22,48.550042
1,3,23,47.256287
1,3,24,151.358307
1,3,25,156.721261
1,3,26,35.606311
1,3,27,32.793227
1,3,28,41.181706
1,3,29,52.952246
1,3,30,110.290922
1,3,31,88.487001
1,3,32,109.864485
1,3,33,30.029840
1,4,2,55.425420
1,4,3,48.784724
1,4,4,65.281799
1,4,5,29.896506
1,4,6,38.284025
1,4,7,133.488964
1,4,8,123.737333
1,4,9,32.044868
1,4,10,34.191616
1,4,11,27.912189
1,4,12,27.431989
1,4,13,30.029615
1,4,14,86.041248
1,4,15,33.368146
1,4,16,49.946299
1,4,17,36.899421
1,4,18,39.906467
1,4,19,65.872647
1,4,20,67.919774
1,4,21,59.634017
1,4,22,60.185576
1,4,23,58.173984
1,4,24,146.620643
1,4,25,173.679340
1,4,26,51.873754
1,4,27,39.500163
1,4,28,44.024675
1,4,29,75.407882
1,4,30,98.096453
1,4,31,92.537218
1,4,32,94.521182
1,4,33,38.094131
2,1,2,40.472900
2,1,3,48.064589
2,1,4,75.907154
2,1,5,34.185315
2,1,6,34.832603
2,1,7,91.172767
2,1,8,110.543363
2,1,9,31.712552
2,1,10,30.495229
2,1,11,18.101199
2,1,12,25.706537
2,1,13,20.776000
2,1,14,55.700210
2,1,15,23.030767
2,1,16,29.420258
2,1,17,36.925060
2,1,18,42.971768
2,1,19,47.713738
2,1,20,44.754972
2,1,21,38.585390
2,1,22,41.042949
2,1,23,44.599055
2,1,24,76.179600
2,1,25,114.636922
2,1,26,34.767021
2,1,27,31.333382
2,1,28,25.200342
2,1,29,56.170373
2,1,30,95.899383
2,1,31,70.061777
2,1,32,97.357725
2,1,33,27.962222
2,2,2,60.829099
2,2,3,49.614066
2,2,4,78.507840
2,2,5,38.830101
2,2,6,33.497339
2,2,7,110.559568
2,2,8,75.294800
2,2,9,32.977982
2,2,10,36.641199
2,2,11,24.092299
2,2,12,46.790050
2,2,13,46.790050
2,2,14,78.612598
2,2,15,33.013952
2,2,16,37.061125
2,2,17,32.976428
2,2,18,56.748799
2,2,19,46.751591
2,2,20,38.753841
2,2,21,53.868666
2,2,22,56.729939
2,2,23,49.425629
2,2,24,122.645119
2,2,25,124.220534
2,2,26,35.185999
2,2,27,26.242935
2,2,28,39.693067
2,2,29,74.156807
2,2,30,104.994490
2,2,31,70.176158
2,2,32,94.506215
2,2,33,35.229236
2,3,2,79.798789
2,3,3,61.497958
2,3,4,51.144533
2,3,5,29.996140
2,3,6,41.992726
2,3,7,96.252990
2,3,8,161.774034
2,3,9,43.486226
2,3,10,48.320827
2,3,11,28.389041
2,3,12,41.088149
2,3,13,35.488965
2,3,14,70.928182
2,3,15,29.277161
2,3,16,34.936929
2,3,17,36.995416
2,3,18,50.827373
2,3,19,45.767541
2,3,20,41.035385
