scenario_a,t,bus,P_kW,Q_kvar
1,1,2,45.867449,18.424762
1,1,3,46.902495,17.749415
1,1,4,59.031477,27.296968
1,1,5,33.764420,13.574451
1,1,6,33.124341,12.486534
1,1,7,120.960681,38.906843
1,1,8,93.661629,29.147117
1,1,9,27.922351,10.229416
1,1,10,30.931099,11.470806
1,1,11,26.698526,9.899628
1,1,12,27.752840,10.355496
1,1,13,35.283333,11.609118
1,1,14,55.926929,26.214310
1,1,15,27.239647,8.770524
1,1,16,31.833384,12.116369
1,1,17,28.029169,10.811426
1,1,18,47.449048,18.818437
1,1,19,41.609081,13.693091
1,1,20,53.477625,26.522805
1,1,21,44.254458,13.663454
1,1,22,34.599562,10.619039
1,1,23,47.344121,16.622939
1,1,24,99.857985,36.967612
1,1,25,98.631883,42.788188
1,1,26,30.385380,11.048116
1,1,27,29.972618,13.058125
1,1,28,37.947253,18.538630
1,1,29,67.324706,31.545426
1,1,30,90.878043,43.442165
1,1,31,77.330912,37.917876
1,1,32,110.530254,54.000501
1,1,33,25.274114,9.631668
1,2,2,65.362933,27.168377
1,2,3,68.031588,30.669580
1,2,4,75.740447,25.526895
1,2,5,43.258592,15.597763
1,2,6,36.514606,12.795974
1,2,7,121.405327,54.428142
1,2,8,149.334243,73.961043
1,2,9,41.409171,20.242434
1,2,10,45.905148,16.970281
1,2,11,31.782058,14.419358
1,2,12,49.340886,20.012241
1,2,13,46.698396,19.714442
1,2,14,75.062623,31.123302
1,2,15,36.566788,15.487733
1,2,16,51.450491,17.164682
1,2,17,53.479301,21.417930
1,2,18,76.403069,24.287271
1,2,19,63.502801,26.424921
1,2,20,52.632948,26.144512
1,2,21,54.455503,18.464537
1,2,22,63.992623,27.709292
1,2,23,74.322563,26.160138
1,2,24,180.622084,78.365259
1,2,25,171.525295,59.927248
1,2,26,44.171277,20.337090
1,2,27,37.828454,13.824366
1,2,28,65.090500,21.127950
1,2,29,88.136617,35.860935
1,2,30,139.120957,56.327090
1,2,31,102.210103,32.352659
1,2,32,151.501023,49.772970
1,2,33,42.611541,20.938413
1,3,2,42.072767,17.110379
1,3,3,36.239820,11.454775
1,3,4,47.990732,18.246721
1,3,5,27.316725,10.029076
1,3,6,22.128908,7.747958
1,3,7,77.867649,36.679561
1,3,8,84.085116,33.717170
1,3,9,37.843550,14.819000
1,3,10,31.299774,11.450640
1,3,11,18.905888,9.451012
1,3,12,22.160240,9.617573
1,3,13,25.713273,11.428559
1,3,14,49.431121,18.801952
1,3,15,21.046486,9.466443
1,3,16,26.150899,12.447704
1,3,17,23.097457,6.944548
1,3,18,35.521395,16.593831
1,3,19,47.973144,21.714624
1,3,20,32.183103,13.455115
1,3,21,39.539175,13.433906
1,3,22,36.995669,14.560878
1,3,23,46.465888,17.562985
1,3,24,111.219033,33.703336
1,3,25,84.498801,27.622044
1,3,26,24.565235,9.394445
1,3,27,25.925283,10.307930
1,3,28,26.356452,10.622764
1,3,29,53.844589,21.295624
1,3,30,85.114390,33.729738
1,3,31,61.340866,24.415631
1,3,32,107.108518,45.842844
1,3,33,24.641977,10.248056
1,4,2,68.203183,27.973336
1,4,3,62.959482,28.105277
1,4,4,91.754183,41.295086
1,4,5,36.432374,11.580971
1,4,6,47.731554,22.745626
1,4,7,123.439166,54.963866
1,4,8,132.951583,53.307308
1,4,9,40.477495,14.338450
1,4,10,40.663267,19.065467
1,4,11,31.800656,11.020581
1,4,12,43.784413,14.458212
1,4,13,49.203514,15.856428
1,4,14,68.135426,23.037039
1,4,15,42.214648,18.396687
1,4,16,41.401849,15.707900
1,4,17,40.271912,15.049659
1,4,18,57.788671,25.055102
