scenario_b,ts,region,DEV_dis_sl_kW
1,1,1,425.398
1,1,2,556.116
1,1,3,521.355
1,2,1,462.5
1,2,2,604.619
1,2,3,566.826
1,3,1,503.362
1,3,2,658.038
1,3,3,616.906
1,4,1,546.358
1,4,2,714.246
1,4,3,669.601
2,1,1,599.441
2,1,2,545.569
2,1,3,307.217
2,2,1,651.722
2,2,2,593.151
2,2,3,334.012
2,3,1,709.303
2,3,2,645.557
2,3,3,363.522
2,4,1,769.89
2,4,2,700.699
2,4,3,394.574
3,1,1,419.022
3,1,2,287.388
3,1,3,407.828
3,2,1,455.568
3,2,2,312.453
3,2,3,443.398
3,3,1,495.818
3,3,2,340.059
3,3,3,482.572
3,4,1,538.17
3,4,2,369.106
3,4,3,523.793
4,1,1,595.742
4,1,2,595.122
4,1,3,301.585
4,2,1,647.701
4,2,2,647.026
4,2,3,327.888
4,3,1,704.927
4,3,2,704.192
4,3,3,356.857
4,4,1,765.14
4,4,2,764.343
4,4,3,387.339
5,1,1,516.855
5,1,2,544.694
5,1,3,335.725
5,2,1,561.934
5,2,2,592.201
5,2,3,365.005
5,3,1,611.581
5,3,2,644.523
5,3,3,397.254
5,4,1,663.821
5,4,2,699.576
5,4,3,431.187
6,1,1,239.996
6,1,2,309.884
6,1,3,282.892
6,2,1,260.928
6,2,2,336.912
6,2,3,307.565
6,3,1,283.981
6,3,2,366.678
6,3,3,334.739
6,4,1,308.238
6,4,2,397.999
6,4,3,363.332
7,1,1,216.054
7,1,2,418.566
7,1,3,263.599
7,2,1,234.898
7,2,2,455.072
7,2,3,286.589
7,3,1,255.651
7,3,2,495.278
7,3,3,311.91
7,4,1,277.488
7,4,2,537.583
7,4,3,338.553
8,1,1,211.311
8,1,2,451.814
8,1,3,560.677
8,2,1,229.741
8,2,2,491.22
8,2,3,609.578
8,3,1,250.039
8,3,2,534.619
8,3,3,663.435
8,4,1,271.397
8,4,2,580.285
8,4,3,720.104
9,1,1,321.718
9,1,2,419.735
9,1,3,447.705
9,2,1,349.777
9,2,2,456.343
9,2,3,486.752
9,3,1,380.68
9,3,2,496.662
9,3,3,529.758
9,4,1,413.197
9,4,2,539.085
9,4,3,575.008
10,1,1,376.341
10,1,2,407.08
10,1,3,607.296
10,2,1,409.164
10,2,2,442.584
10,2,3,660.263
10,3,1,445.314
10,3,2,481.687
10,3,3,718.598
10,4,1,483.352
10,4,2,522.831
10,4,3,779.979
