scenario_b,ts,bus,P_kW
1,1,2,39.918
1,1,3,35.926
1,1,4,47.902
1,1,5,23.951
1,1,6,23.951
1,1,7,79.836
1,1,8,79.836
1,1,9,23.951
1,1,10,23.951
1,1,11,17.963
1,1,12,23.951
1,1,13,23.951
1,1,14,47.902
1,1,15,23.951
1,1,16,23.951
1,1,17,23.951
1,1,18,35.926
1,1,19,35.926
1,1,20,35.926
1,1,21,35.926
1,1,22,35.926
1,1,23,35.926
1,1,24,167.656
1,1,25,167.656
1,1,26,23.951
1,1,27,23.951
1,1,28,23.951
1,1,29,47.902
1,1,30,79.836
1,1,31,59.877
1,1,32,83.828
1,1,33,23.951
1,2,2,43.4
1,2,3,39.06
1,2,4,52.08
1,2,5,26.04
1,2,6,26.04
1,2,7,86.799
1,2,8,86.799
1,2,9,26.04
1,2,10,26.04
1,2,11,19.53
1,2,12,26.04
1,2,13,26.04
1,2,14,52.08
1,2,15,26.04
1,2,16,26.04
1,2,17,26.04
1,2,18,39.06
1,2,19,39.06
1,2,20,39.06
1,2,21,39.06
1,2,22,39.06
1,2,23,39.06
1,2,24,182.279
1,2,25,182.279
1,2,26,26.04
1,2,27,26.04
1,2,28,26.04
1,2,29,52.08
1,2,30,86.799
1,2,31,65.1
1,2,32,91.139
1,2,33,26.04
1,3,2,47.234
1,3,3,42.511
1,3,4,56.681
1,3,5,28.34
1,3,6,28.34
1,3,7,94.468
1,3,8,94.468
1,3,9,28.34
1,3,10,28.34
1,3,11,21.255
1,3,12,28.34
1,3,13,28.34
1,3,14,56.681
1,3,15,28.34
1,3,16,28.34
1,3,17,28.34
1,3,18,42.511
1,3,19,42.511
1,3,20,42.511
1,3,21,42.511
1,3,22,42.511
1,3,23,42.511
1,3,24,198.383
1,3,25,198.383
1,3,26,28.34
1,3,27,28.34
1,3,28,28.34
1,3,29,56.681
1,3,30,94.468
1,3,31,70.851
1,3,32,99.192
1,3,33,28.34
1,4,2,51.269
1,4,3,46.142
1,4,4,61.523
1,4,5,30.761
1,4,6,30.761
1,4,7,102.538
1,4,8,102.538
1,4,9,30.761
1,4,10,30.761
1,4,11,23.071
1,4,12,30.761
1,4,13,30.761
1,4,14,61.523
1,4,15,30.761
1,4,16,30.761
1,4,17,30.761
1,4,18,46.142
1,4,19,46.142
1,4,20,46.142
1,4,21,46.142
1,4,22,46.142
1,4,23,46.142
1,4,24,215.329
1,4,25,215.329
1,4,26,30.761
1,4,27,30.761
1,4,28,30.761
1,4,29,61.523
1,4,30,102.538
1,4,31,76.903
1,4,32,107.664
1,4,33,30.761
2,1,2,41.223
2,1,3,37.101
2,1,4,49.467
2,1,5,24.734
2,1,6,24.734
2,1,7,82.446
2,1,8,82.446
2,1,9,24.734
2,1,10,24.734
2,1,11,18.55
