scenario_a,t,region,DEV_ch_sl_kW
1,1,1,290.849
1,2,1,293.833
1,3,1,298.34
1,4,1,304.936
1,5,1,314.288
1,6,1,327.121
1,7,1,344.157
1,8,1,366.015
1,9,1,393.085
1,10,1,425.398
1,11,1,462.5
1,12,1,503.362
1,13,1,546.358
1,14,1,589.321
1,15,1,629.697
1,16,1,664.782
1,17,1,692.015
1,18,1,709.286
1,19,1,715.205
1,20,1,709.286
1,21,1,692.015
1,22,1,664.782
1,23,1,629.697
1,24,1,589.321
1,1,2,380.223
1,2,2,384.124
1,3,2,390.016
1,4,2,398.639
1,5,2,410.864
1,6,2,427.64
1,7,2,449.912
1,8,2,478.486
1,9,2,513.874
1,10,2,556.116
1,11,2,604.619
1,12,2,658.038
1,13,2,714.246
1,14,2,770.411
1,15,2,823.193
1,16,2,869.059
1,17,2,904.661
1,18,2,927.239
1,19,2,934.977
1,20,2,927.239
1,21,2,904.661
1,22,2,869.059
1,23,2,823.193
1,24,2,770.411
1,1,3,356.456
1,2,3,360.113
1,3,3,365.637
1,4,3,373.721
1,5,3,385.182
1,6,3,400.91
1,7,3,421.789
1,8,3,448.577
1,9,3,481.753
1,10,3,521.355
1,11,3,566.826
1,12,3,616.906
1,13,3,669.601
1,14,3,722.254
1,15,3,771.738
1,16,3,814.737
1,17,3,848.113
1,18,3,869.28
1,19,3,876.534
1,20,3,869.28
1,21,3,848.113
1,22,3,814.737
1,23,3,771.738
1,24,3,722.254
2,1,1,409.844
2,2,1,414.049
2,3,1,420.4
2,4,1,429.695
2,5,1,442.872
2,6,1,460.956
2,7,1,484.963
2,8,1,515.763
2,9,1,553.907
2,10,1,599.441
2,11,1,651.722
2,12,1,709.303
2,13,1,769.89
2,14,1,830.43
2,15,1,887.325
2,16,1,936.764
2,17,1,975.139
2,18,1,999.476
2,19,1,1007.817
2,20,1,999.476
2,21,1,975.139
2,22,1,936.764
2,23,1,887.325
2,24,1,830.43
2,1,2,373.011
2,2,2,376.838
2,3,2,382.618
2,4,2,391.078
2,5,2,403.071
2,6,2,419.529
2,7,2,441.379
2,8,2,469.411
2,9,2,504.127
2,10,2,545.569
2,11,2,593.151
2,12,2,645.557
2,13,2,700.699
2,14,2,755.798
2,15,2,807.58
2,16,2,852.576
2,17,2,887.502
2,18,2,909.653
2,19,2,917.243
2,20,2,909.653
2,21,2,887.502
2,22,2,852.576
2,23,2,807.58
2,24,2,755.798
2,1,3,210.048
2,2,3,212.203
2,3,3,215.458
2,4,3,220.221
2,5,3,226.975
2,6,3,236.243
2,7,3,248.547
2,8,3,264.332
2,9,3,283.881
2,10,3,307.217
2,11,3,334.012
2,12,3,363.522
2,13,3,394.574
2,14,3,425.601
2,15,3,454.76
2,16,3,480.098
2,17,3,499.765
2,18,3,512.238
2,19,3,516.513
2,20,3,512.238
2,21,3,499.765
2,22,3,480.098
2,23,3,454.76
2,24,3,425.601
3,1,1,286.49
3,2,1,289.429
3,3,1,293.869
3,4,1,300.366
3,5,1,309.577
3,6,1,322.218
3,7,1,338.999
3,8,1,360.529
3,9,1,387.193
3,10,1,419.022
3,11,1,455.568
3,12,1,495.818
3,13,1,538.17
3,14,1,580.489
3,15,1,620.259
3,16,1,654.818
3,17,1,681.643
3,18,1,698.656
3,19,1,704.486
3,20,1,698.656
3,21,1,681.643
3,22,1,654.818
3,23,1,620.259
3,24,1,580.489
3,1,2,196.49
3,2,2,198.506
3,3,2,201.551
3,4,2,206.007
3,5,2,212.325
3,6,2,220.995
3,7,2,232.504
3,8,2,247.271
3,9,2,265.558
3,10,2,287.388
3,11,2,312.453
3,12,2,340.059
3,13,2,369.106
3,14,2,398.131
3,15,2,425.408
3,16,2,449.11
3,17,2,467.508
3,18,2,479.176
3,19,2,483.175
3,20,2,479.176
3,21,2,467.508
3,22,2,449.11
3,23,2,425.408
3,24,2,398.131
3,1,3,278.837
3,2,3,281.697
3,3,3,286.018
3,4,3,292.342
3,5,3,301.307
3,6,3,313.61
3,7,3,329.943
3,8,3,350.898
3,9,3,376.85
3,10,3,407.828
3,11,3,443.398
3,12,3,482.572
3,13,3,523.793
3,14,3,564.981
3,15,3,603.689
3,16,3,637.325
3,17,3,663.433
3,18,3,679.991
3,19,3,685.666
3,20,3,679.991
3,21,3,663.433
3,22,3,637.325
3,23,3,603.689
3,24,3,564.981
4,1,1,407.316
4,2,1,411.495
4,3,1,417.806
4,4,1,427.044
4,5,1,440.14
4,6,1,458.112
4,7,1,481.97
4,8,1,512.58
