scenario_a,t,bus,P_kW,Q_kvar
1,1,2,27.292,16.375
1,2,2,27.573,16.544
1,3,2,27.995,16.797
1,4,2,28.614,17.169
1,5,2,29.492,17.695
1,6,2,30.696,18.418
1,7,2,32.295,19.377
1,8,2,34.346,20.608
1,9,2,36.886,22.132
1,10,2,39.918,23.951
1,11,2,43.4,26.04
1,12,2,47.234,28.34
1,13,2,51.269,30.761
1,14,2,55.3,33.18
1,15,2,59.089,35.453
1,16,2,62.381,37.429
1,17,2,64.937,38.962
1,18,2,66.557,39.934
1,19,2,67.113,40.268
1,20,2,66.557,39.934
1,21,2,64.937,38.962
1,22,2,62.381,37.429
1,23,2,59.089,35.453
1,24,2,55.3,33.18
1,1,3,24.563,10.917
1,2,3,24.815,11.029
1,3,3,25.196,11.198
1,4,3,25.753,11.446
1,5,3,26.543,11.797
1,6,3,27.627,12.278
1,7,3,29.065,12.918
1,8,3,30.911,13.738
1,9,3,33.197,14.754
1,10,3,35.926,15.967
1,11,3,39.06,17.36
1,12,3,42.511,18.894
1,13,3,46.142,20.508
1,14,3,49.77,22.12
1,15,3,53.18,23.636
1,16,3,56.143,24.953
1,17,3,58.443,25.975
1,18,3,59.902,26.623
1,19,3,60.402,26.845
1,20,3,59.902,26.623
1,21,3,58.443,25.975
1,22,3,56.143,24.953
1,23,3,53.18,23.636
1,24,3,49.77,22.12
1,1,4,32.751,21.834
1,2,4,33.087,22.058
1,3,4,33.595,22.396
1,4,4,34.337,22.892
1,5,4,35.39,23.594
1,6,4,36.835,24.557
1,7,4,38.754,25.836
1,8,4,41.215,27.477
1,9,4,44.263,29.509
1,10,4,47.902,31.935
1,11,4,52.08,34.72
1,12,4,56.681,37.787
1,13,4,61.523,41.015
1,14,4,66.36,44.24
1,15,4,70.907,47.271
1,16,4,74.858,49.905
1,17,4,77.924,51.949
1,18,4,79.869,53.246
1,19,4,80.535,53.69
1,20,4,79.869,53.246
1,21,4,77.924,51.949
1,22,4,74.858,49.905
1,23,4,70.907,47.271
1,24,4,66.36,44.24
1,1,5,16.375,8.188
1,2,5,16.544,8.272
1,3,5,16.797,8.399
1,4,5,17.169,8.584
1,5,5,17.695,8.848
1,6,5,18.418,9.209
1,7,5,19.377,9.688
1,8,5,20.608,10.304
1,9,5,22.132,11.066
1,10,5,23.951,11.975
1,11,5,26.04,13.02
1,12,5,28.34,14.17
1,13,5,30.761,15.381
1,14,5,33.18,16.59
1,15,5,35.453,17.727
1,16,5,37.429,18.714
1,17,5,38.962,19.481
1,18,5,39.934,19.967
1,19,5,40.268,20.134
1,20,5,39.934,19.967
1,21,5,38.962,19.481
1,22,5,37.429,18.714
1,23,5,35.453,17.727
1,24,5,33.18,16.59
1,1,6,16.375,5.458
1,2,6,16.544,5.515
1,3,6,16.797,5.599
1,4,6,17.169,5.723
1,5,6,17.695,5.898
1,6,6,18.418,6.139
1,7,6,19.377,6.459
1,8,6,20.608,6.869
1,9,6,22.132,7.377
1,10,6,23.951,7.984
1,11,6,26.04,8.68
1,12,6,28.34,9.447
1,13,6,30.761,10.254
1,14,6,33.18,11.06
1,15,6,35.453,11.818
1,16,6,37.429,12.476
1,17,6,38.962,12.987
1,18,6,39.934,13.311
1,19,6,40.268,13.423
1,20,6,39.934,13.311
1,21,6,38.962,12.987
1,22,6,37.429,12.476
1,23,6,35.453,11.818
1,24,6,33.18,11.06
1,1,7,54.585,27.292
1,2,7,55.145,27.573
1,3,7,55.991,27.995
1,4,7,57.229,28.614
1,5,7,58.984,29.492
1,6,7,61.392,30.696
1,7,7,64.59,32.295
1,8,7,68.692,34.346
1,9,7,73.772,36.886
1,10,7,79.836,39.918
1,11,7,86.799,43.4
1,12,7,94.468,47.234
1,13,7,102.538,51.269
1,14,7,110.601,55.3
1,15,7,118.178,59.089
1,16,7,124.763,62.381
1,17,7,129.874,64.937
1,18,7,133.115,66.557
1,19,7,134.226,67.113
1,20,7,133.115,66.557
1,21,7,129.874,64.937
1,22,7,124.763,62.381
1,23,7,118.178,59.089
1,24,7,110.601,55.3
1,1,8,54.585,27.292
1,2,8,55.145,27.573
1,3,8,55.991,27.995
1,4,8,57.229,28.614
1,5,8,58.984,29.492
1,6,8,61.392,30.696
1,7,8,64.59,32.295
1,8,8,68.692,34.346
1,9,8,73.772,36.886
1,10,8,79.836,39.918
1,11,8,86.799,43.4
1,12,8,94.468,47.234
1,13,8,102.538,51.269
1,14,8,110.601,55.3
1,15,8,118.178,59.089
1,16,8,124.763,62.381
1,17,8,129.874,64.937
1,18,8,133.115,66.557
1,19,8,134.226,67.113
1,20,8,133.115,66.557
1,21,8,129.874,64.937
1,22,8,124.763,62.381
1,23,8,118.178,59.089
1,24,8,110.601,55.3
1,1,9,16.375,5.458
1,2,9,16.544,5.515
1,3,9,16.797,5.599
1,4,9,17.169,5.723
1,5,9,17.695,5.898
1,6,9,18.418,6.139
1,7,9,19.377,6.459
1,8,9,20.608,6.869
1,9,9,22.132,7.377
1,10,9,23.951,7.984
1,11,9,26.04,8.68
1,12,9,28.34,9.447
1,13,9,30.761,10.254
1,14,9,33.18,11.06
1,15,9,35.453,11.818
1,16,9,37.429,12.476
1,17,9,38.962,12.987
1,18,9,39.934,13.311
1,19,9,40.268,13.423
1,20,9,39.934,13.311
1,21,9,38.962,12.987
1,22,9,37.429,12.476
1,23,9,35.453,11.818
1,24,9,33.18,11.06
1,1,10,16.375,5.458
1,2,10,16.544,5.515
1,3,10,16.797,5.599
1,4,10,17.169,5.723
1,5,10,17.695,5.898
1,6,10,18.418,6.139
1,7,10,19.377,6.459
1,8,10,20.608,6.869
1,9,10,22.132,7.377
1,10,10,23.951,7.984
1,11,10,26.04,8.68
1,12,10,28.34,9.447
1,13,10,30.761,10.254
1,14,10,33.18,11.06
1,15,10,35.453,11.818
1,16,10,37.429,12.476
1,17,10,38.962,12.987
1,18,10,39.934,13.311
1,19,10,40.268,13.423
1,20,10,39.934,13.311
1,21,10,38.962,12.987
1,22,10,37.429,12.476
1,23,10,35.453,11.818
1,24,10,33.18,11.06
1,1,11,12.282,8.188
1,2,11,12.408,8.272
1,3,11,12.598,8.399
1,4,11,12.876,8.584
1,5,11,13.271,8.848
1,6,11,13.813,9.209
1,7,11,14.533,9.688
1,8,11,15.456,10.304
1,9,11,16.599,11.066
1,10,11,17.963,11.975
1,11,11,19.53,13.02
1,12,11,21.255,14.17
1,13,11,23.071,15.381
1,14,11,24.885,16.59
1,15,11,26.59,17.727
1,16,11,28.072,18.714
1,17,11,29.222,19.481
1,18,11,29.951,19.967
1,19,11,30.201,20.134
1,20,11,29.951,19.967
1,21,11,29.222,19.481
1,22,11,28.072,18.714
1,23,11,26.59,17.727
1,24,11,24.885,16.59
1,1,12,16.375,9.552
1,2,12,16.544,9.65
1,3,12,16.797,9.798
1,4,12,17.169,10.015
1,5,12,17.695,10.322
1,6,12,18.418,10.744
1,7,12,19.377,11.303
1,8,12,20.608,12.021
1,9,12,22.132,12.91
1,10,12,23.951,13.971
1,11,12,26.04,15.19
1,12,12,28.34,16.532
1,13,12,30.761,17.944
1,14,12,33.18,19.355
1,15,12,35.453,20.681
1,16,12,37.429,21.833
1,17,12,38.962,22.728
1,18,12,39.934,23.295
1,19,12,40.268,23.49
1,20,12,39.934,23.295
1,21,12,38.962,22.728
1,22,12,37.429,21.833
1,23,12,35.453,20.681
1,24,12,33.18,19.355
1,1,13,16.375,9.552
1,2,13,16.544,9.65
1,3,13,16.797,9.798
1,4,13,17.169,10.015
1,5,13,17.695,10.322
1,6,13,18.418,10.744
1,7,13,19.377,11.303
1,8,13,20.608,12.021
1,9,13,22.132,12.91
1,10,13,23.951,13.971
1,11,13,26.04,15.19
1,12,13,28.34,16.532
1,13,13,30.761,17.944
1,14,13,33.18,19.355
1,15,13,35.453,20.681
1,16,13,37.429,21.833
1,17,13,38.962,22.728
1,18,13,39.934,23.295
1,19,13,40.268,23.49
1,20,13,39.934,23.295
1,21,13,38.962,22.728
1,22,13,37.429,21.833
1,23,13,35.453,20.681
1,24,13,33.18,19.355
1,1,14,32.751,21.834
1,2,14,33.087,22.058
1,3,14,33.595,22.396
1,4,14,34.337,22.892
1,5,14,35.39,23.594
1,6,14,36.835,24.557
1,7,14,38.754,25.836
1,8,14,41.215,27.477
1,9,14,44.263,29.509
1,10,14,47.902,31.935
1,11,14,52.08,34.72
1,12,14,56.681,37.787
1,13,14,61.523,41.015
1,14,14,66.36,44.24
1,15,14,70.907,47.271
1,16,14,74.858,49.905
1,17,14,77.924,51.949
