scenario_b,ts,region,DEV_dis_fa_kW
1,1,1,197.996
1,1,2,188.824
1,1,3,311.166
1,2,1,215.265
1,2,2,205.293
1,2,3,338.305
1,3,1,234.284
1,3,2,223.431
1,3,3,368.195
1,4,1,254.296
1,4,2,242.516
1,4,3,399.645
2,1,1,194.158
2,1,2,278.308
2,1,3,174.755
2,2,1,211.092
2,2,2,302.581
2,2,3,189.997
2,3,1,229.742
2,3,2,329.315
2,3,3,206.783
2,4,1,249.366
2,4,2,357.444
2,4,3,224.446
3,1,1,297.286
3,1,2,130.364
3,1,3,340.064
3,2,1,323.215
3,2,2,141.734
3,2,3,369.723
3,3,1,351.771
3,3,2,154.256
3,3,3,402.389
3,4,1,381.818
3,4,2,167.432
3,4,3,436.76
4,1,1,309.871
4,1,2,380.174
4,1,3,380.597
4,2,1,336.897
4,2,2,413.332
4,2,3,413.791
4,3,1,366.662
4,3,2,449.85
4,3,3,450.35
4,4,1,397.981
4,4,2,488.276
4,4,3,488.818
5,1,1,207.668
5,1,2,380.331
5,1,3,280.917
5,2,1,225.78
5,2,2,413.502
5,2,3,305.418
5,3,1,245.728
5,3,2,450.035
5,3,3,332.402
5,4,1,266.718
5,4,2,488.476
5,4,3,360.795
6,1,1,297.437
6,1,2,350.858
6,1,3,217.921
6,2,1,323.379
6,2,2,381.459
6,2,3,236.927
6,3,1,351.95
6,3,2,415.161
6,3,3,257.86
6,4,1,382.012
6,4,2,450.623
6,4,3,279.886
7,1,1,135.554
7,1,2,263.653
7,1,3,201.7
7,2,1,147.377
7,2,2,286.648
7,2,3,219.291
7,3,1,160.398
7,3,2,311.974
7,3,3,238.666
7,4,1,174.099
7,4,2,338.622
7,4,3,259.052
8,1,1,238.006
8,1,2,251.596
8,1,3,307.212
8,2,1,258.764
8,2,2,273.54
8,2,3,334.007
8,3,1,281.626
8,3,2,297.707
8,3,3,363.516
8,4,1,305.682
8,4,2,323.137
8,4,3,394.567
9,1,1,364.398
9,1,2,349.049
9,1,3,254.578
9,2,1,396.179
9,2,2,379.492
9,2,3,276.781
9,3,1,431.182
9,3,2,413.021
9,3,3,301.235
9,4,1,468.013
9,4,2,448.3
9,4,3,326.966
10,1,1,132.522
10,1,2,309.29
10,1,3,253.956
10,2,1,144.08
10,2,2,336.265
10,2,3,276.105
10,3,1,156.809
10,3,2,365.975
10,3,3,300.5
10,4,1,170.204
10,4,2,397.235
10,4,3,326.168
