scenario_a,t,region,DEV_ch_fa_kW
1,1,1,135.372
1,2,1,136.761
1,3,1,138.859
1,4,1,141.929
1,5,1,146.281
1,6,1,152.255
1,7,1,160.184
1,8,1,170.357
1,9,1,182.957
1,10,1,197.996
1,11,1,215.265
1,12,1,234.284
1,13,1,254.296
1,14,1,274.292
1,15,1,293.085
1,16,1,309.415
1,17,1,322.09
1,18,1,330.129
1,19,1,332.884
1,20,1,330.129
1,21,1,322.09
1,22,1,309.415
1,23,1,293.085
1,24,1,274.292
1,1,2,129.101
1,2,2,130.426
1,3,2,132.426
1,4,2,135.354
1,5,2,139.505
1,6,2,145.201
1,7,2,152.763
1,8,2,162.465
1,9,2,174.481
1,10,2,188.824
1,11,2,205.293
1,12,2,223.431
1,13,2,242.516
1,14,2,261.586
1,15,2,279.508
1,16,2,295.081
1,17,2,307.169
1,18,2,314.836
1,19,2,317.463
1,20,2,314.836
1,21,2,307.169
1,22,2,295.081
1,23,2,279.508
1,24,2,261.586
1,1,3,212.748
1,2,3,214.93
1,3,3,218.227
1,4,3,223.052
1,5,3,229.892
1,6,3,239.279
1,7,3,251.741
1,8,3,267.729
1,9,3,287.53
1,10,3,311.166
1,11,3,338.305
1,12,3,368.195
1,13,3,399.645
1,14,3,431.071
1,15,3,460.605
1,16,3,486.268
1,17,3,506.188
1,18,3,518.822
1,19,3,523.151
1,20,3,518.822
1,21,3,506.188
1,22,3,486.268
1,23,3,460.605
1,24,3,431.071
2,1,1,132.748
2,2,1,134.11
2,3,1,136.167
2,4,1,139.178
2,5,1,143.446
2,6,1,149.303
2,7,1,157.079
2,8,1,167.055
2,9,1,179.41
2,10,1,194.158
2,11,1,211.092
2,12,1,229.742
2,13,1,249.366
2,14,1,268.975
2,15,1,287.404
2,16,1,303.417
2,17,1,315.846
2,18,1,323.729
2,19,1,326.431
2,20,1,323.729
2,21,1,315.846
2,22,1,303.417
2,23,1,287.404
2,24,1,268.975
2,1,2,190.282
2,2,2,192.234
2,3,2,195.183
2,4,2,199.498
2,5,2,205.616
2,6,2,214.012
2,7,2,225.158
2,8,2,239.458
2,9,2,257.168
2,10,2,278.308
2,11,2,302.581
2,12,2,329.315
2,13,2,357.444
2,14,2,385.551
2,15,2,411.966
2,16,2,434.92
2,17,2,452.737
2,18,2,464.036
2,19,2,467.908
2,20,2,464.036
2,21,2,452.737
2,22,2,434.92
2,23,2,411.966
2,24,2,385.551
2,1,3,119.482
2,2,3,120.708
2,3,3,122.559
2,4,3,125.269
