source,run_id,case_name,parameter_regime,validation_level,stop_reason,iteration_count,cut_count,final_violation_upper_bound
current_experiment,disaster_only_paper_like,disaster_only_paper_like,paper_like_tableII,smoke_only,max_iterations,5,5,71546.45000003651
current_experiment,integrated_mainline_runtime12,integrated_mainline_runtime12,runtime12_directional,smoke_only,max_iterations,2,2,10529.50500000018
current_experiment,deterministic_mean_value_runtime12,deterministic_mean_value_runtime12,runtime12_directional,smoke_only,max_iterations,2,2,12987.68000000075
current_experiment,ev_penetration_1_5x_runtime12,ev_penetration_1_5x_runtime12,runtime12_directional,smoke_only,max_iterations,2,2,5985.6700000002165
current_experiment,ev_penetration_2_0x_runtime12,ev_penetration_2_0x_runtime12,runtime12_directional,smoke_only,max_iterations,2,2,5985.6700000002165
convergence_diagnostic,integrated_paper_like_exact_i10_k2_a1b1,integrated_mainline,paper_like_tableII,smoke_only,max_iterations,10,10,2818.310000000056
convergence_diagnostic,integrated_paper_like_exact_i20_k2_a1b1,integrated_mainline,paper_like_tableII,smoke_only,max_iterations,20,20,3747.1099999961443
convergence_diagnostic,integrated_runtime12_exact_i2_k2_a12b12,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,10529.50500000018
convergence_diagnostic,integrated_runtime12_exact_i2_k1_a1234b1234,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,10492.675000000047
convergence_diagnostic,integrated_runtime12_exact_i2_k3_a1234b1234,integrated_mainline,runtime12_directional,smoke_only,max_iterations,2,2,15217.614999999438
convergence_diagnostic,deterministic_runtime12_exact_i2_k2_a12b12,deterministic_mean_value,runtime12_directional,smoke_only,max_iterations,2,2,12987.68000000075
convergence_diagnostic,disaster_only_paper_like_exact_i5_k1_a1b1,disaster_only,paper_like_tableII,smoke_only,max_iterations,5,5,46818.8099999954
convergence_diagnostic,disaster_only_paper_like_exact_i20_k2_a1b1,disaster_only,paper_like_tableII,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,integrated_paper_like_exact_i10_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056
cut_process,integrated_paper_like_exact_i10_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,10,10,2818.310000000056
cut_process,integrated_paper_like_exact_i20_k2_a1b1__baseline,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443
cut_process,integrated_paper_like_exact_i20_k2_a1b1__improved,integrated_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,3747.1099999961443
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954
cut_process,disaster_only_paper_like_exact_i5_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,46818.8099999954
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485
cut_process,disaster_only_paper_like_exact_i20_k1_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,21273.049999997485
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651
cut_process,disaster_only_paper_like_exact_i5_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,5,5,71546.45000003651
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,disaster_only_paper_like_exact_i20_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,20,20,35891.95999998739
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1__baseline,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031
cut_process,disaster_only_paper_like_exact_i40_k2_a1b1__improved,disaster_only_paper_like_exact,paper_like_exact,smoke_only,max_iterations,40,40,7636.459999999031
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234__baseline,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903
cut_process,integrated_runtime12_exact_i3_k3_a1234b1234__improved,integrated_runtime12_exact,runtime12_directional_exact,smoke_only,max_iterations,3,3,12863.407500000903
