run_id,family_name,validation_level,construction_cost,weighted_normal_term,unweighted_normal_term,disaster_master_term,total_objective,note
integrated_mainline_certified_small,certified_small_family,epsilon_certified,4421143.360491286,20588064.249518357,22875626.943909284,167.61743231180833,25009375.227441963,Compare total objective only under the weighted-normal convention and with family caveats.
normal_only_certified_small,certified_small_family,exact,4421143.360491286,22875626.94390937,22875626.94390937,0.0,27296770.304400675,Compare total objective only under the weighted-normal convention and with family caveats.
deterministic_mean_value_certified_small,certified_small_family,epsilon_certified,4421143.360491286,20588064.249518357,22875626.943909284,167.61743231180833,25009375.227441963,Compare total objective only under the weighted-normal convention and with family caveats.
integrated_mainline_paper_like,paper_like_tableII_family,epsilon_certified,171730.13627193242,13035357.592206404,18621939.41743772,0.0,13207087.728478337,Compare total objective only under the weighted-normal convention and with family caveats.
normal_only_paper_like,paper_like_tableII_family,exact,171760.06442104536,18622035.264121648,18622035.264121648,0.0,18793795.328542694,Compare total objective only under the weighted-normal convention and with family caveats.
disaster_only_paper_like,paper_like_tableII_family,smoke_only,23113.82481765002,0.0,76287766.14798273,3709.868462252223,26823.693279902243,Compare total objective only under the weighted-normal convention and with family caveats.
deterministic_mean_value_paper_like,paper_like_tableII_family,epsilon_certified,171730.13627193242,13035357.592206404,18621939.41743772,0.0,13207087.728478337,Compare total objective only under the weighted-normal convention and with family caveats.
ev_penetration_1_5x_paper_like,paper_like_tableII_family,epsilon_certified,262853.6935867764,17010934.51354102,24301335.019344315,0.0,17273788.20712779,Compare total objective only under the weighted-normal convention and with family caveats.
ev_penetration_2_0x_paper_like,paper_like_tableII_family,epsilon_certified,305364.11493179464,25867747.20746967,36953924.58209953,0.0,26173111.322401464,Compare total objective only under the weighted-normal convention and with family caveats.
integrated_mainline_runtime12,runtime12_directional_family,smoke_only,4410273.923833655,20506437.556191694,22784930.61799077,87.35278330225373,24916798.832808632,Compare total objective only under the weighted-normal convention and with family caveats.
normal_only_runtime12,runtime12_directional_family,exact,4410273.923833655,22784930.617990784,22784930.617990784,0.0,27195204.541824397,Compare total objective only under the weighted-normal convention and with family caveats.
deterministic_mean_value_runtime12,runtime12_directional_family,smoke_only,4183374.4336056146,20674646.360838365,22971829.289820403,103.5706534132272,24858124.365097396,Compare total objective only under the weighted-normal convention and with family caveats.
ev_penetration_1_5x_runtime12,runtime12_directional_family,smoke_only,6172481.341952035,30577949.732886072,33975499.70320675,122.10888533352457,36750553.183723375,Compare total objective only under the weighted-normal convention and with family caveats.
ev_penetration_2_0x_runtime12,runtime12_directional_family,smoke_only,6470032.170454676,46930921.15141376,52145467.94601529,122.10888533352457,53401075.4307536,Compare total objective only under the weighted-normal convention and with family caveats.
