run_id,A,B,K,validation_level,stop_reason,iterations,cuts,final_violation,runtime_seconds,master_seconds,separation_seconds,cut_generation_seconds,separation_share,top_cuts,max_iterations,epsilon_cert,master_time_limit_seconds,separation_time_limit_seconds,master_mip_gap,separation_mip_gap_setting,objective_m_cons,objective_m_normal,objective_m_disaster,source_run_role,log_path
full_benders_A10_B005_K02_top003,10,5,2,epsilon_certified,certified_epsilon,31,91,92.87930249865167,263.4824366219999,162.813448207,91.661662622,9.007325792999946,0.3478852852476868,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B005_K02_top003_run.json
full_benders_A10_B010_K01_top003,10,10,1,epsilon_certified,certified_epsilon,14,38,67.37313800000265,101.2234456260012,33.52671279400238,60.50105370699748,7.195679125001334,0.5976980267055503,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B010_K01_top003_run.json
full_benders_A10_B010_K02_top003,10,10,2,epsilon_certified,certified_epsilon,49,145,33.14022600073076,669.9186406769995,290.43174892000025,348.6956480029996,30.79124375399971,0.5205044714842063,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B010_K02_top003_run.json
full_benders_A10_B010_K03_top003,10,10,3,smoke_only,max_iterations,100,298,811.5601386756753,1992.515063386014,957.8007726709548,975.781214921044,58.93307579401517,0.48972338169571167,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B010_K03_top003_run.json
full_benders_A10_B010_K05_top003,10,10,5,smoke_only,max_iterations,100,298,36744.81264199689,2757.4302815240517,1232.1834404180045,1465.1729935670337,60.073847539013514,0.5313545018288629,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B010_K05_top003_run.json
full_benders_A10_B010_K07_top003,10,10,7,smoke_only,max_iterations,100,298,67772.68470952567,3155.8339773410335,1527.4030197579923,1567.3186618380278,61.1122957450134,0.49664167161245326,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B010_K07_top003_run.json
full_benders_A10_B020_K02_top003,10,20,2,epsilon_certified,certified_epsilon,75,222,68.72124008608625,2250.069209248996,562.343968041,1592.4574825419954,95.26775866600019,0.7077371113724582,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B020_K02_top003_run.json
full_benders_A10_B050_K02_top003,10,50,2,epsilon_certified,certified_epsilon,47,137,74.06617260000758,4928.210743921993,313.2681257539971,4472.270919376997,142.6716987909981,0.9074836998179694,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B050_K02_top003_run.json
full_benders_A10_B100_K02_top003,10,100,2,epsilon_certified,certified_epsilon,40,116,68.27164079785416,12156.283650621988,246.1343070790026,11686.150611791993,223.9987317509931,0.9613259239137661,3,100,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,standard_100_iteration_scaling,results/paper_final/full_benders_scaling_runs/milp/logs/full_benders_A10_B100_K02_top003_run.json
full_benders_completion_A10_B010_K07_top003_max300,10,10,7,smoke_only,max_iterations,300,898,18833.512920595706,11467.517579261104,6322.139012747019,4958.229349052122,187.14921746196342,0.4323716370855217,3,300,100.0,120.0,300.0,0.02,0.02,0.015,1.0,1.25,completion_high_budget,results/paper_final/full_benders_completion_runs/milp/logs/full_benders_completion_A10_B010_K07_top003_max300_run.json
