dataset_role,path,rows,scenario_col,scenario_count,scenario_min,scenario_max,time_col,scenario1_time_count,scenario1_time_min,scenario1_time_max
profile_figure_source_unperturbed_base,data/colleague_default_10x10/normal_load_scenarios.csv,7680,scenario_a,10,1,10,t,24,1,24
profile_figure_source_unperturbed_base,data/colleague_default_10x10/normal_ev_demand_slow.csv,720,scenario_a,10,1,10,t,24,1,24
profile_figure_source_unperturbed_base,data/colleague_default_10x10/normal_ev_demand_fast.csv,720,scenario_a,10,1,10,t,24,1,24
profile_figure_source_unperturbed_base,data/colleague_default_10x10/disaster_load_scenarios.csv,1280,scenario_b,10,1,10,ts,4,1,4
profile_figure_source_unperturbed_base,data/colleague_default_10x10/disaster_ev_discharge_slow.csv,120,scenario_b,10,1,10,ts,4,1,4
profile_figure_source_unperturbed_base,data/colleague_default_10x10/disaster_ev_discharge_fast.csv,120,scenario_b,10,1,10,ts,4,1,4
default_optimization_source,data/colleague_default_10x10/normal_load_scenarios.csv,7680,scenario_a,10,1,10,t,24,1,24
default_optimization_source,data/colleague_default_10x10/normal_ev_demand_slow.csv,720,scenario_a,10,1,10,t,24,1,24
default_optimization_source,data/colleague_default_10x10/normal_ev_demand_fast.csv,720,scenario_a,10,1,10,t,24,1,24
default_optimization_source,data/colleague_default_10x10/disaster_load_scenarios.csv,1280,scenario_b,10,1,10,ts,4,1,4
default_optimization_source,data/colleague_default_10x10/disaster_ev_discharge_slow.csv,120,scenario_b,10,1,10,ts,4,1,4
default_optimization_source,data/colleague_default_10x10/disaster_ev_discharge_fast.csv,120,scenario_b,10,1,10,ts,4,1,4
