scenario_id,normal_load_P_kW_sum,normal_load_Q_kvar_sum,normal_EV_slow_kW_sum,normal_EV_fast_kW_sum,disaster_load_P_kW_sum,disaster_EV_slow_kW_sum,disaster_EV_fast_kW_sum
1,42375.2459999999,26235.010000000024,42944.153,19944.808999999997,6754.638000000003,6845.325,3179.2160000000003
2,43760.18500000003,27092.475,41497.058999999994,18494.205,6975.415999999994,6614.656999999999,2947.987
3,47450.85600000004,29377.372000000025,31839.115000000005,21937.252,7563.688999999997,5075.174999999999,3496.812
4,45012.411,27867.696999999956,42646.39099999999,30593.353000000003,7174.989000000001,6797.862,4876.598999999999
5,46631.16400000002,28869.929000000047,39926.79799999999,24829.085000000003,7433.0449999999955,6364.356,3957.77
6,45866.36999999996,28396.36800000003,23796.296999999988,24751.931999999997,7311.123000000004,3793.144,3945.4730000000004
7,43161.30999999997,26721.681000000044,25666.403000000002,17170.788,6879.939000000001,4091.240999999999,2737.0339999999997
8,45788.012999999955,28347.907999999963,34969.87500000001,22768.803000000004,7298.640999999998,5574.22,3629.36
9,43874.313000000104,27163.106000000014,33979.920000000006,27661.092000000008,6993.585999999999,5416.42,4409.194
10,43861.430999999975,27155.112999999994,39739.420999999995,19881.408,6991.531000000003,6334.489,3169.1090000000004
