stage,candidate_id,selection_basis,selected_as_stage1_winner,run_id,mode,solver,validation_level,stop_reason,solver_status,parameter_regime,cfix,ctrans_scalar,ccons_sl,ccons_fa,ev_penetration_scale,opened_bus_count,total_slow_chargers,total_fast_chargers,fast_station_count,capped_slow_station_count,cluster_count,cluster_hits,out_of_cluster_open_count,out_of_cluster_buses,opened_bus_list,meets_stage1_rules,final_violation_upper_bound,plan_path,log_path,notes
stage1,S0_baseline,,False,S0_baseline,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,153600.0,0.0435,540.07,25000.0,1.0,15,362,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/0; 25:24/1; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:13/0,False,0.0,results/paper_like_calibration/plans/S0_baseline_plan.csv,results/paper_like_calibration/logs/S0_baseline_run.json,Current paper-like baseline.
stage1,S1_site_cost_up,lexicographic_best_fallback,True,S1_site_cost_up,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.0435,540.07,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S1_site_cost_up_plan.csv,results/paper_like_calibration/logs/S1_site_cost_up_run.json,Raise site fixed cost by 4x.
stage1,S2_site_cost_up_transport_down,,False,S2_site_cost_up_transport_down,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.032625,540.07,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S2_site_cost_up_transport_down_plan.csv,results/paper_like_calibration/logs/S2_site_cost_up_transport_down_run.json,S1 plus 0.75x transport scalar.
stage1,S3_site_cost_up_transport_half,,False,S3_site_cost_up_transport_half,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.02175,540.07,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S3_site_cost_up_transport_half_plan.csv,results/paper_like_calibration/logs/S3_site_cost_up_transport_half_run.json,S1 plus 0.5x transport scalar.
stage1,S4_sparse_slow_cost_up,,False,S4_sparse_slow_cost_up,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.032625,2700.35,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S4_sparse_slow_cost_up_plan.csv,results/paper_like_calibration/logs/S4_sparse_slow_cost_up_run.json,S2 plus 5x slow-charger construction cost.
stage1,S5_sparse_slow_cost_up_more,,False,S5_sparse_slow_cost_up_more,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.032625,5400.7,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S5_sparse_slow_cost_up_more_plan.csv,results/paper_like_calibration/logs/S5_sparse_slow_cost_up_more_run.json,S2 plus 10x slow-charger construction cost.
stage1,S6_mixed_station_bias,,False,S6_mixed_station_bias,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.032625,2700.35,12000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,False,0.0,results/paper_like_calibration/plans/S6_mixed_station_bias_plan.csv,results/paper_like_calibration/logs/S6_mixed_station_bias_run.json,S4 plus lower fast-charger construction cost to encourage mixed stations.
stage2,S1_site_cost_up,lexicographic_best_fallback,False,integrated_mainline_paper_like_tuned,integrated_mainline,benders,epsilon_certified,certified_epsilon,OPTIMAL,paper_like_fig6_calibration,614400.0,0.0435,540.07,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,,16575.030000000726,results/paper_like_calibration/plans/integrated_mainline_paper_like_tuned_plan.csv,results/paper_like_calibration/logs/integrated_mainline_paper_like_tuned_run.json,Winner propagation from S1_site_cost_up
stage2,S1_site_cost_up,lexicographic_best_fallback,True,normal_only_paper_like_tuned,normal_only,direct_master,exact,direct_optimal,OPTIMAL,paper_like_fig6_calibration,614400.0,0.0435,540.07,25000.0,1.0,15,361,24,5,13,4,"{""left_branch"": [3, 4, 5, 19, 20], ""middle"": [9], ""right_upper_branch"": [32, 33], ""upper_branch"": [26, 27, 28, 29]}",3,"6,18,25",3:25/6; 4:25/0; 5:25/3; 6:25/0; 9:25/0; 18:25/0; 19:25/10; 20:25/1; 25:21/0; 26:25/0; 27:25/0; 28:25/4; 29:25/0; 32:25/0; 33:15/0,,0.0,results/paper_like_calibration/plans/normal_only_paper_like_tuned_plan.csv,results/paper_like_calibration/logs/normal_only_paper_like_tuned_run.json,Winner propagation from S1_site_cost_up
stage2,S1_site_cost_up,lexicographic_best_fallback,False,disaster_only_paper_like_tuned,disaster_only,benders,smoke_only,max_iterations,OPTIMAL,paper_like_fig6_calibration,614400.0,0.0435,540.07,25000.0,1.0,1,25,10,1,1,0,"{""left_branch"": [], ""middle"": [], ""right_upper_branch"": [], ""upper_branch"": []}",1,17,17:25/10,,68546.42000001483,results/paper_like_calibration/plans/disaster_only_paper_like_tuned_plan.csv,results/paper_like_calibration/logs/disaster_only_paper_like_tuned_run.json,Winner propagation from S1_site_cost_up
