phase,run_id,validation_level,stop_reason,solver_status,ev_penetration_scale,nbar_sl,nbar_fa,cfix,ccons_sl,ccons_fa,ctrans_scalar,opened_bus_count,total_slow_chargers,total_fast_chargers,fast_station_count,capped_slow_station_count,exact_bus_overlap_count,missing_target_bus_count,extra_bus_count,missing_target_buses,extra_buses,score,construction_cost,weighted_normal_term,opened_bus_list,plan_path,log_path
phase1,phase1_scale0p45_nsl20_fa12000,exact,direct_optimal,OPTIMAL,0.45,20,10,614400.0,2700.35,12000.0,0.032625,8,160,11,2,8,3,4,5,"5,10,22,33","4,9,18,19,27",318.0,303634.69660594274,12465567.91892597,3:20/0; 4:20/0; 9:20/0; 18:20/0; 19:20/8; 27:20/0; 28:20/3; 32:20/0,results/paper_like_calibration_search/plans/phase1_scale0p45_nsl20_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p45_nsl20_fa12000_run.json
phase1,phase1_scale0p45_nsl25_fa12000,exact,direct_optimal,OPTIMAL,0.45,25,10,614400.0,2700.35,12000.0,0.032625,7,163,11,3,5,2,5,5,"5,10,22,32,33","4,9,18,19,27",305.0,270036.44937388203,12432583.546638265,3:25/1; 4:17/0; 9:25/0; 18:21/0; 19:25/7; 27:25/0; 28:25/3,results/paper_like_calibration_search/plans/phase1_scale0p45_nsl25_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p45_nsl25_fa12000_run.json
phase1,phase1_scale0p5_nsl20_fa12000,exact,direct_optimal,OPTIMAL,0.5,20,10,614400.0,2700.35,12000.0,0.032625,9,180,12,3,9,4,3,5,"10,22,33","4,9,18,19,27",347.0,341339.6647646781,12996553.666001024,3:20/0; 4:20/0; 5:20/0; 9:20/1; 18:20/0; 19:20/8; 27:20/0; 28:20/3; 32:20/0,results/paper_like_calibration_search/plans/phase1_scale0p5_nsl20_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p5_nsl20_fa12000_run.json
phase1,phase1_scale0p5_nsl25_fa12000,exact,direct_optimal,OPTIMAL,0.5,25,10,614400.0,2700.35,12000.0,0.032625,8,181,12,3,6,3,4,5,"5,10,22,33","4,9,18,19,27",332.0,307442.13604148803,12990154.632961025,3:25/0; 4:17/0; 9:25/1; 18:25/0; 19:25/8; 27:25/0; 28:25/3; 32:14/0,results/paper_like_calibration_search/plans/phase1_scale0p5_nsl25_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p5_nsl25_fa12000_run.json
phase1,phase1_scale0p55_nsl20_fa12000,exact,direct_optimal,OPTIMAL,0.55,20,10,614400.0,2700.35,12000.0,0.032625,10,199,13,3,9,4,3,6,"10,22,33","4,9,18,19,26,27",413.0,378894.99217784876,13551484.53438638,3:20/0; 4:20/0; 5:19/0; 9:20/0; 18:20/1; 19:20/9; 26:20/0; 27:20/0; 28:20/3; 32:20/0,results/paper_like_calibration_search/plans/phase1_scale0p55_nsl20_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p55_nsl20_fa12000_run.json
phase1,phase1_scale0p55_nsl25_fa12000,exact,direct_optimal,OPTIMAL,0.55,25,10,614400.0,2700.35,12000.0,0.032625,8,199,13,3,7,3,4,5,"5,10,22,33","4,9,18,19,27",349.0,310800.6532403393,13548261.698318087,3:25/0; 4:24/0; 9:25/0; 18:25/1; 19:25/9; 27:25/0; 28:25/3; 32:25/0,results/paper_like_calibration_search/plans/phase1_scale0p55_nsl25_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase1_scale0p55_nsl25_fa12000_run.json
phase2,phase2_scale0p45_nsl25_fa6000,exact,direct_optimal,OPTIMAL,0.45,25,10,614400.0,2700.35,6000.0,0.032625,7,163,12,4,5,2,5,5,"5,10,22,32,33","4,9,18,19,27",302.0,266711.530480449,12432575.683495503,3:25/1; 4:17/0; 9:25/1; 18:21/0; 19:25/7; 27:25/0; 28:25/3,results/paper_like_calibration_search/plans/phase2_scale0p45_nsl25_fa6000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p45_nsl25_fa6000_run.json
phase2,phase2_scale0p45_nsl25_fa12000,exact,direct_optimal,OPTIMAL,0.45,25,10,614400.0,2700.35,12000.0,0.032625,7,163,11,3,5,2,5,5,"5,10,22,32,33","4,9,18,19,27",305.0,270036.44937388203,12432583.546638265,3:25/1; 4:17/0; 9:25/0; 18:21/0; 19:25/7; 27:25/0; 28:25/3,results/paper_like_calibration_search/plans/phase2_scale0p45_nsl25_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p45_nsl25_fa12000_run.json
phase2,phase2_scale0p45_nsl20_fa6000,exact,direct_optimal,OPTIMAL,0.45,20,10,614400.0,2700.35,6000.0,0.032625,8,160,11,2,8,3,4,5,"5,10,22,33","4,9,18,19,27",318.0,299977.28582316637,12465567.91892597,3:20/0; 4:20/0; 9:20/0; 18:20/0; 19:20/8; 27:20/0; 28:20/3; 32:20/0,results/paper_like_calibration_search/plans/phase2_scale0p45_nsl20_fa6000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p45_nsl20_fa6000_run.json
phase2,phase2_scale0p45_nsl20_fa12000,exact,direct_optimal,OPTIMAL,0.45,20,10,614400.0,2700.35,12000.0,0.032625,8,160,11,2,8,3,4,5,"5,10,22,33","4,9,18,19,27",318.0,303634.69660594274,12465567.91892597,3:20/0; 4:20/0; 9:20/0; 18:20/0; 19:20/8; 27:20/0; 28:20/3; 32:20/0,results/paper_like_calibration_search/plans/phase2_scale0p45_nsl20_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p45_nsl20_fa12000_run.json
phase2,phase2_scale0p5_nsl25_fa6000,exact,direct_optimal,OPTIMAL,0.5,25,10,614400.0,2700.35,6000.0,0.032625,8,181,12,3,6,2,5,6,"5,10,22,32,33","4,9,18,19,20,27",372.0,303452.23336936836,12990177.184955219,3:25/0; 4:17/0; 9:25/1; 18:25/0; 19:25/8; 20:14/0; 27:25/0; 28:25/3,results/paper_like_calibration_search/plans/phase2_scale0p5_nsl25_fa6000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p5_nsl25_fa6000_run.json
phase2,phase2_scale0p5_nsl25_fa12000,exact,direct_optimal,OPTIMAL,0.5,25,10,614400.0,2700.35,12000.0,0.032625,8,181,12,3,6,3,4,5,"5,10,22,33","4,9,18,19,27",332.0,307442.13604148803,12990154.632961025,3:25/0; 4:17/0; 9:25/1; 18:25/0; 19:25/8; 27:25/0; 28:25/3; 32:14/0,results/paper_like_calibration_search/plans/phase2_scale0p5_nsl25_fa12000_plan.csv,results/paper_like_calibration_search/logs/phase2_scale0p5_nsl25_fa12000_run.json
