case,metric,paper_final,reproduction,abs_diff,match
proposed,F_cons,128069.89313764666,128069.89313764666,0.0,True
proposed,F_trans,21514.49241245492,21514.49241245492,0.0,True
proposed,F_unmet,0.0,0.0,0.0,True
proposed,F_sub,40809.78476934795,40809.78476934795,0.0,True
proposed,Psi_nor,62324.27718180287,62324.27718180287,0.0,True
proposed,Phi_dis,5223.699133452031,5223.699133452031,0.0,True
proposed,J_common,173263.99690494427,173263.99690494427,0.0,True
proposed,sites,12,12,0.0,True
proposed,slow_chargers,172,172,0.0,True
proposed,fast_chargers,15,15,0.0,True
proposed,critical_bus_coverage,7/11,7/11,,True
proposed,open_buses,3;6;8;11;14;17;18;21;26;29;30;32,3;6;8;11;14;17;18;21;26;29;30;32,,True
normal,F_cons,66721.5857696624,66721.5857696624,0.0,True
normal,F_trans,21470.911372895862,21470.911372895862,0.0,True
normal,F_unmet,0.0,0.0,0.0,True
normal,F_sub,40809.78476934805,40809.78476934805,0.0,True
normal,Psi_nor,62280.69614224391,62280.69614224391,0.0,True
normal,Phi_dis,16774.957910626654,16774.957910626654,0.0,True
normal,J_common,115350.56044242112,115350.56044242112,0.0,True
normal,sites,5,5,0.0,True
normal,slow_chargers,113,113,0.0,True
normal,fast_chargers,15,15,0.0,True
normal,critical_bus_coverage,1/11,1/11,,True
normal,open_buses,3;6;19;30;32,3;6;19;30;32,,True
disaster,F_cons,132216.03984425342,132216.03984425342,0.0,True
disaster,F_trans,23014.967894076304,23014.967894076304,0.0,True
disaster,F_unmet,66167.2352955,66167.2352955,0.0,True
disaster,F_sub,40769.86968327043,40769.86968327043,0.0,True
disaster,Psi_nor,129952.07287284674,129952.07287284674,0.0,True
disaster,Phi_dis,4358.415018442496,4358.415018442496,0.0,True
disaster,J_common,224490.0153607789,224490.0153607789,0.0,True
disaster,sites,13,13,0.0,True
disaster,slow_chargers,165,165,0.0,True
disaster,fast_chargers,12,12,0.0,True
disaster,critical_bus_coverage,9/11,9/11,,True
disaster,open_buses,8;11;14;17;18;20;22;23;25;26;29;30;32,8;11;14;17;18;20;22;23;25;26;29;30;32,,True
deterministic_k2,F_cons,104765.2611994592,104765.2611994592,0.0,True
deterministic_k2,F_trans,21837.59928894974,21837.59928894974,0.0,True
deterministic_k2,F_unmet,66167.2352955,66167.2352955,0.0,True
deterministic_k2,F_sub,40769.869683270175,40769.869683270175,0.0,True
deterministic_k2,Psi_nor,128774.7042677199,128774.7042677199,0.0,True
deterministic_k2,Phi_dis,6545.72094927071,6545.72094927071,0.0,True
deterministic_k2,J_common,196871.27047164433,196871.27047164433,0.0,True
deterministic_k2,sites,10,10,0.0,True
deterministic_k2,slow_chargers,101,101,0.0,True
deterministic_k2,fast_chargers,12,12,0.0,True
deterministic_k2,critical_bus_coverage,5/11,5/11,,True
deterministic_k2,open_buses,6;8;10;11;14;18;21;29;30;32,6;8;10;11;14;18;21;29;30;32,,True
